word,word_sen,word_sen_trans,trans,example
nice,They’ve got a very nice house.,他们的房子真漂亮。,"adj.精密的；美好的；细微的；和蔼的
n.(Nice)人名；(英)尼斯
","1. They’ve got a very nice house.
他们的房子真漂亮。
2. Did you have a nice time?
你们玩得开心吗？
3. It’s such a nice day (= good weather ), why not go for a swim?
天气真好，为什么不去游泳呢？
4. What a nice surprise!
真是个惊喜！
5. One of the nice things about Christmas is having all the family together.
圣诞节的一个好处是全家可以聚首一堂。
"
doze,Grandad was dozing in his chair.,爷爷在椅子上打瞌睡。,"v.打瞌睡；假寐
n.瞌睡
","1. Grandad was dozing in his chair.
爷爷在椅子上打瞌睡。
"
blood,Her body was found in a pool of blood.,她的尸体被发现倒在血泊之中。,"n.血，血液；血统
v.从…抽血；使先取得经验
","1. Her body was found in a pool of blood.
她的尸体被发现倒在血泊之中。
2. Blood oozed from a cut on his forehead.
血从他额头的伤口里渗了出来。
3. Blood tests proved he was not the father.
验血证明他不是孩子的父亲。
"
fashionable,Strong colours are very fashionable at the moment.,眼下流行艳丽的色彩。,"adj.流行的；时髦的；上流社会的
","1. Strong colours are very fashionable at the moment.
眼下流行艳丽的色彩。
"
theft,Car theft is on the increase.,汽车盗窃案在上升。,"n.盗窃；偷；赃物
","1. Car theft is on the increase.
汽车盗窃案在上升。
2. an arrest for petty theft
以小偷小摸罪名逮捕
3. Three men were charged with attempted theft .
三名男子被指控企图行窃。
"
extinct,Dinosaurs have been extinct for millions of years.,恐龙已灭绝数千万年了。,"adj.灭绝的，绝种的；熄灭的
vt.使熄灭
","1. Dinosaurs have been extinct for millions of years.
恐龙已灭绝数千万年了。
2. Pandas could become extinct in the wild.
熊猫在野生环境中可能会绝种。
3. an extinct species
已灭绝的一个物种
"
prolong,I was trying to think of some way to prolong the conversation.,我在想方设法拖长这次谈话。,"v.延长；拖延
","1. I was trying to think of some way to prolong the conversation.
我在想方设法拖长这次谈话。
"
formation,We now know a lot more about the early stages of planetary formation.,我们现在对行星形成过程的早期阶段有了更多的了解。,"n.形成；构造；编队
","1. We now know a lot more about the early stages of planetary formation.
我们现在对行星形成过程的早期阶段有了更多的了解。
"
disperse,Police used tear gas to disperse the crowd.,警察用催泪瓦斯驱散人群。,"v.分散；使散开；传播
adj.分散的
","1. Police used tear gas to disperse the crowd.
警察用催泪瓦斯驱散人群。
"
initiate,They have decided to initiate legal proceedings against the newspaper.,他们决定向该报提起法律诉讼。,"v.开始，创始；发起；使初步了解
n.开始；新加入者，接受初步知识者
adj.新加入的；接受初步知识的
","1. They have decided to initiate legal proceedings against the newspaper.
他们决定向该报提起法律诉讼。
2. Intellectuals have initiated a debate on terrorism.
知识分子就恐怖主义发起了辩论。
"
shadow,the long dark shadow of an old oak tree,一棵老橡树长长的影子,"n.阴影；影子；幽灵；庇护；隐蔽处
v.遮蔽；使朦胧；尾随；预示
adj.影子内阁的
","1. the long dark shadow of an old oak tree
一棵老橡树长长的影子
"
laptop,She used to work at her laptop until four in the morning.,她以前经常在笔记本电脑前工作到凌晨4点钟。,"n.膝上型轻便电脑，笔记本电脑
","1. She used to work at her laptop until four in the morning.
她以前经常在笔记本电脑前工作到凌晨4点钟。
"
block,a wall made of concrete blocks,由混凝土块砌成的墙,"n.块；街区；大厦；障碍物
v.阻止；阻塞；限制；封盖
adj.成批的，大块的；交通堵塞的
","1. a wall made of concrete blocks
由混凝土块砌成的墙
"
delete,His name was deleted from the list.,他的名字从名单上删掉了。,"v.删除
","1. His name was deleted from the list.
他的名字从名单上删掉了。
2. I deleted the file by mistake.
我误删了这个文件。
"
mystery,"Twenty years after the event, his death remains a mystery .",事情过去二十年了，他的死仍然是个谜。,"n.秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
","1. Twenty years after the event, his death remains a mystery .
事情过去二十年了，他的死仍然是个谜。
2. The way her mind worked was always a mystery to him.
她脑子里在想些什么对他来说始终是个谜。
3. ‘Why did he do it?’ ‘I don’t know. It’s a complete mystery .’
“他为什么这么做？” “我不知道，这完全是个谜。”
4. The police never solved the mystery of Gray’s disappearance.
警察一直没有侦破格雷失踪的谜案。
5. But why would anyone want to kill Jack? The mystery deepened .
但为什么会有人想杀死杰克呢？疑团越来越深了。
6. What happened to the paintings after that is an unsolved mystery .
后来那些画的命运如何是个不解之谜。
7. I don’t know how he got the job – it’s one of life’s little mysteries .
我不知道他是怎么得到那份工作的——那永远是个小小的谜。
8. How life began on Earth is one of the great mysteries of science.
地球生命的起源是一大科学谜团。
"
disguise,He escaped across the border disguised as a priest.,他装扮成神父越境逃走了。,"v.掩饰；假装；隐瞒
n.伪装；假装；用作伪装的东西
","1. He escaped across the border disguised as a priest.
他装扮成神父越境逃走了。
"
july,"In July 1969, Neil Armstrong walked on the moon.",1969年7月，尼尔·阿姆斯特朗踏上了月球。,"n.七月
","1. In July 1969, Neil Armstrong walked on the moon.
1969年7月，尼尔·阿姆斯特朗踏上了月球。
"
swing,kids playing on the swings,荡秋千的孩子们,"n.摇摆；摆动；秋千；音律；涨落
v.摇摆；转向；悬挂；大摇大摆地行走
adj.旋转的；悬挂的；强节奏爵士音乐的
","1. kids playing on the swings
荡秋千的孩子们
2. a porch swing
门廊上的秋千
"
enterprise,commercial enterprises such as banks and food manufacturers,银行和食品制造厂等商业企业,"n.企业；事业；进取心；事业心
","1. commercial enterprises such as banks and food manufacturers
银行和食品制造厂等商业企业
"
strip,Strip the beds and wash the sheets.,把床单撤下来清洗。,"v.剥夺；剥去；脱去衣服
n.带；条状；脱衣舞
","1. Strip the beds and wash the sheets.
把床单撤下来清洗。
"
june,He spent two and a half weeks with us in June 1986.,1986年6月，他和我们呆了两个半星期。,"n.六月；琼（女名）
","1. He spent two and a half weeks with us in June 1986.
1986年6月，他和我们呆了两个半星期。
2. I am moving out on June 5th.
我将于6月5日搬出去。
"
complicated,a complicated voting system,复杂的选举制度,"adj.难懂的，复杂的
","1. a complicated voting system
复杂的选举制度
2. For young children, getting dressed is a complicated business.
对幼童来说，穿衣服是件复杂的事。
"
orderly,She needs to organize her ideas in a more orderly way.,她需要把自己的想法组织得更有条理些。,"adj.有秩序的；整齐的；值班的
n.勤务兵；传令兵；护理员
adv.顺序地；依次地
","1. She needs to organize her ideas in a more orderly way.
她需要把自己的想法组织得更有条理些。
"
acceptance,Acceptance by their peer group is important to most youngsters.,对大多数年轻人来说，为同辈所接纳是很重要的。,"n.接纳；赞同；容忍
","1. Acceptance by their peer group is important to most youngsters.
对大多数年轻人来说，为同辈所接纳是很重要的。
"
grandmother,My grandmothers are both widows.,我的祖母和外祖母都是寡妇。,"n.祖母；女祖先
vt.当…的祖母
vi.当祖母
","1. My grandmothers are both widows.
我的祖母和外祖母都是寡妇。
"
tower,the Eiffel Tower,埃菲尔铁塔,"n.塔；高楼；堡垒
v.高耸；超越
","1. the Eiffel Tower
埃菲尔铁塔
2. a castle with tall towers
有高高的塔楼的城堡
"
organ,the decision-making organs,决策机关,"n.[生物] 器官；机构；风琴；管风琴；嗓音
","1. the decision-making organs
决策机关
"
river,the Mississippi River,密西西比河,"n.河，江
","1. the Mississippi River
密西西比河
2. the River Thames
泰晤士河
"
arrogant,He was unbearably arrogant.,他的傲慢让人无法忍受。,"adj.自大的，傲慢的
","1. He was unbearably arrogant.
他的傲慢让人无法忍受。
2. an arrogant attitude
傲慢的态度
"
deem,French and German were deemed essential.,法语和德语被认为是必需的。,"v.认为，视作；相信
n.(Deem)人名；(英)迪姆
","1. French and German were deemed essential.
法语和德语被认为是必需的。
"
deep,a deep wound,很深的伤口,"n.深处；深渊
adj.深的；低沉的；深奥的
adv.深入地；深深地；迟
","1. a deep wound
很深的伤口
2. She was sitting in a deep leather chair.
她坐在一张很深的皮椅子里。
"
favorable,,,"adj.有利的；良好的；赞成的，赞许的；讨人喜欢的
",
harness,We can harness the power of the wind to generate electricity.,我们可以利用风力发电。,"v.治理；套；驾驭；披上甲胄；利用
n.马具；甲胄；挽具状带子；降落伞背带；日常工作
","1. We can harness the power of the wind to generate electricity.
我们可以利用风力发电。
"
breast,These bras are specially designed for women with large breasts.,这些胸罩专为乳房丰满的女性设计。,"n.乳房，胸部；胸怀；心情
v.以胸对着；与…搏斗
","1. These bras are specially designed for women with large breasts.
这些胸罩专为乳房丰满的女性设计。
2. breast milk
母乳
3. breast cancer
乳腺癌
"
excellent,an excellent suggestion,极好的建议,"adj.卓越的；极好的；杰出的
","1. an excellent suggestion
极好的建议
2. His car is in excellent condition.
他的汽车状况极佳。
3. Second-hand computers can be excellent value.
二手计算机买得好会非常合算。
"
handsome,He managed to make a handsome profit out of the deal.,他从这笔买卖中赚取了丰厚的利润。,"adj.（男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
","1. He managed to make a handsome profit out of the deal.
他从这笔买卖中赚取了丰厚的利润。
2. a handsome fee
一大笔费用
"
wallet,He took a credit card out of his wallet.,他从钱包里拿出一张信用卡。,"n.钱包，皮夹
","1. He took a credit card out of his wallet.
他从钱包里拿出一张信用卡。
"
dock,A crowd was waiting at the dock to greet them.,一群人在码头等着迎接他们。,"n.码头；船坞；被告席；尾巴的骨肉部分
v.使靠码头；剪短
","1. A crowd was waiting at the dock to greet them.
一群人在码头等着迎接他们。
"
dignity,an appearance of quiet dignity,肃穆的神态,"n.尊严；高贵
","1. an appearance of quiet dignity
肃穆的神态
"
suggestion,Any suggestions would be welcome.,任何建议都欢迎。,"n.建议；示意；微量，细微的迹象
","1. Any suggestions would be welcome.
任何建议都欢迎。
"
therapy,new drug therapies,新的药物疗法,"n.治疗，疗法
","1. new drug therapies
新的药物疗法
2. radiation therapy for cancer treatment
治疗癌症的放射疗法
"
enforce,Parking restrictions will be strictly enforced.,停车限制将会严格执行。,"v.实施，执行；强迫，强制
","1. Parking restrictions will be strictly enforced.
停车限制将会严格执行。
"
depress,The thought of taking the exam again depressed him.,想到要补考，他就心情沮丧。,"v.压抑；使沮丧；使萧条
","1. The thought of taking the exam again depressed him.
想到要补考，他就心情沮丧。
2. It depresses me that nobody seems to care.
似乎没有人在乎，这让我感到很沮丧。
"
restraint,The police were praised for their restraint in handling the demonstrators.,警方因对待示威者时所表现出的克制而受到赞扬。,"n.抑制，克制；约束
","1. The police were praised for their restraint in handling the demonstrators.
警方因对待示威者时所表现出的克制而受到赞扬。
"
sample,a chance to sample the local food,品尝当地食品的一个机会,"v.取样；尝试；抽样检查
n.样品；样本；例子
adj.试样的，样品的；作为例子的
","1. a chance to sample the local food
品尝当地食品的一个机会
"
crab,crab meat,蟹肉,"n.螃蟹；蟹肉；脾气乖戾的人；起重机
v.抱怨；破坏；使偏航
","1. crab meat
蟹肉
"
privilege,He had no special privileges and was treated just like every other prisoner.,他不享受特权，待遇和任何其他犯人一样。,"n.特权；优待
v.给与…特权；特免
","1. He had no special privileges and was treated just like every other prisoner.
他不享受特权，待遇和任何其他犯人一样。
"
doom,A sense of impending doom (= coming very soon ) gripped her.,她心头被一种大难临头的感觉所笼罩。,"n.厄运；死亡；判决；世界末日
v.注定；判决；使失败
","1. A sense of impending doom (= coming very soon ) gripped her.
她心头被一种大难临头的感觉所笼罩。
2. Thousands of soldiers met their doom (= died ) on this very field.
数千名士兵就是在这个战场上丧生的。
"
tuition,I had to have extra tuition in maths.,我不得不上数学补习课。,"n.学费；讲授
","1. I had to have extra tuition in maths.
我不得不上数学补习课。
"
cliff,The car rolled over the edge of a cliff.,汽车翻下了悬崖边。,"n.悬崖；绝壁
","1. The car rolled over the edge of a cliff.
汽车翻下了悬崖边。
"
abide,I can’t abide that man – he’s so self-satisfied.,我受不了那个人，他太自满了。,"v.忍受，容忍；停留；遵守
","1. I can’t abide that man – he’s so self-satisfied.
我受不了那个人，他太自满了。
"
masterpiece,Mary Shelley was just 18 when she wrote the horror masterpiece ‘Frankenstein’.,玛丽•雪莱创作《科学怪人》这部恐怖小说名作的时候年仅18岁。,"n.杰作；绝无仅有的人
","1. Mary Shelley was just 18 when she wrote the horror masterpiece ‘Frankenstein’.
玛丽•雪莱创作《科学怪人》这部恐怖小说名作的时候年仅18岁。
"
route,Trains are taking a lot of freight that used to be routed via trucks.,火车正在运送过去由卡车运送的大批货物。,"v.按某路线发送
n.路线；航线；通道
","1. Trains are taking a lot of freight that used to be routed via trucks.
火车正在运送过去由卡车运送的大批货物。
"
recognition,He has achieved recognition and respect as a scientist.,作为科学家，他得到人们的赞赏和尊敬。,"n.识别；承认，认出；重视；赞誉；公认
","1. He has achieved recognition and respect as a scientist.
作为科学家，他得到人们的赞赏和尊敬。
"
eminent,an eminent lawyer,杰出的律师,"adj.杰出的；有名的；明显的
","1. an eminent lawyer
杰出的律师
"
glance,He gave her a quick glance and smiled.,他迅速地瞥了她一眼，笑了。,"n.一瞥；一滑；闪光
v.扫视，匆匆一看；反光；瞥闪，瞥见
","1. He gave her a quick glance and smiled.
他迅速地瞥了她一眼，笑了。
2. The brothers exchanged glances (= looked at each other quickly ) .
兄弟俩互相瞥了一眼。
"
endure,It seemed impossible that anyone could endure such pain.,似乎谁都不可能忍受这样的疼痛。,"v.忍耐；容忍
","1. It seemed impossible that anyone could endure such pain.
似乎谁都不可能忍受这样的疼痛。
"
insight,a woman of great insight,一位极有眼光的妇女,"n.洞察力；洞悉
","1. a woman of great insight
一位极有眼光的妇女
"
continent,the continents of Asia and Africa,亚洲及非洲大陆,"n.大陆，洲，陆地
adj.自制的，克制的
","1. the continents of Asia and Africa
亚洲及非洲大陆
"
defy,This was the first (and last) time that I dared to defy my mother.,这是我第一次（也是最后一次）胆敢违抗我母亲。,"v.藐视；公然反抗；挑衅；使落空
n.挑战；对抗
","1. This was the first (and last) time that I dared to defy my mother.
这是我第一次（也是最后一次）胆敢违抗我母亲。
"
spot,a nice quiet spot on the beach,海滩上一个安静的好地方,"n.地点；斑点
v.认出；弄脏；用灯光照射
adj.现场的；现货买卖的
adv.准确地；恰好
","1. a nice quiet spot on the beach
海滩上一个安静的好地方
2. I chose a spot well away from the road.
我选了一个远离马路的地点。
"
knee,Lucy had a bandage round her knee.,露西的膝盖上缠着绷带。,"n.膝盖，膝
v.用膝盖碰
","1. Lucy had a bandage round her knee.
露西的膝盖上缠着绷带。
2. a knee injury
膝伤
"
cling,"Instead, he appears determined to cling to power.",反而，他看来坚决要握紧权力不放。,"v.坚持，墨守；紧贴；附着
","1. Instead, he appears determined to cling to power.
反而，他看来坚决要握紧权力不放。
2. Another congressman clung on with a majority of only 18.
另一位国会议员在获得仅仅18张多数票的情况下保住了位子。
"
hop,a little girl hopping and skipping,一个蹦蹦跳跳的小女孩,"v.单足跳跃〔跳行〕
n.蹦跳,跳跃；跳舞；一次飞行的距离
","1. a little girl hopping and skipping
一个蹦蹦跳跳的小女孩
"
climb,Harry climbed the stairs.,哈里爬上楼梯。,"v.爬；攀登；上升
n.爬；攀登
","1. Harry climbed the stairs.
哈里爬上楼梯。
2. Boys were climbing trees along the river bank.
男孩们在河边爬树。
"
denote,What does the word ‘curriculum’ denote that ‘course’ does not?,curriculum一词的哪些含义是course没有的？,"v.表示，指示
","1. What does the word ‘curriculum’ denote that ‘course’ does not?
curriculum一词的哪些含义是course没有的？
"
discourse,Candidates should engage in serious political discourse.,候选人应该参加严肃的政治对话。,"n.论述；谈话；演讲
v.演说；谈论；讲述
","1. Candidates should engage in serious political discourse.
候选人应该参加严肃的政治对话。
"
facilitate,The new airport will facilitate the development of tourism.,新机场将促进旅游业的发展。,"v.促进；帮助；使容易
","1. The new airport will facilitate the development of tourism.
新机场将促进旅游业的发展。
"
reasonable,a reasonable request,合情合理的要求,"adj.合理的，公道的；通情达理的
","1. a reasonable request
合情合理的要求
2. Be reasonable — you can’t expect her to do all the work on her own!
要讲道理，你不能指望她一个人干所有的工作！
3. I thought it was a perfectly reasonable (= completely reasonable ) question.
我认为这个问题问得很有道理。
4. He had reasonable grounds (= good reasons but no proof ) for believing the law had been broken.
他有合理的根据认为有人违法了。
"
tv,,,"abbr.电视（television）
",
messenger,There will be a messenger at the airport to collect the photographs from our courier.,机场会有一名信使从我们的快递员那儿取走照片。,"n.报信者，送信者；先驱
","1. There will be a messenger at the airport to collect the photographs from our courier.
机场会有一名信使从我们的快递员那儿取走照片。
"
signify,Some tribes use special facial markings to signify status.,有些部落使用特殊的面部标记来表示地位。,"v.表示；意味；预示
","1. Some tribes use special facial markings to signify status.
有些部落使用特殊的面部标记来表示地位。
2. The image of the lion signified power and strength.
狮子的形象代表权力和力量。
"
palm,He held the pebble in the palm of his hand .,他把那颗卵石握在手心里。,"n.手掌；棕榈树；掌状物
v.将…藏于掌中
","1. He held the pebble in the palm of his hand .
他把那颗卵石握在手心里。
"
birthday,It’s my birthday on Monday.,星期一是我的生日。,"n.生日，诞辰；诞生的日子
","1. It’s my birthday on Monday.
星期一是我的生日。
2. My aunt called to wish me a happy birthday.
我姑妈打电话来祝我生日快乐。
3. Anne’s birthday party
安妮的生日派对
"
liberty,the fight for liberty and equality,争取自由和平等的斗争,"n.自由；许可；冒失
","1. the fight for liberty and equality
争取自由和平等的斗争
"
pant,He came in panting after running up the steps.,他跑上台阶，气喘吁吁地走了进来。,"v.喘息；渴望；气喘吁吁地说出某事
n.气喘；喘息；喷气声
","1. He came in panting after running up the steps.
他跑上台阶，气喘吁吁地走了进来。
2. He was panting for breath .
他上气不接下气。
3. The dog lay panting on the doorstep.
那条狗躺在门阶上喘着气。
"
perpetual,the perpetual noise of the machines,机器连续不断的噪音,"adj.永久的；不断的；四季开花的；无期限的
","1. the perpetual noise of the machines
机器连续不断的噪音
2. a little girl with a perpetual smile
总是带着微笑的小女孩
"
acquaintance,She was a casual acquaintance of my family in Vienna.,她是我们家在维也纳的一个交情不深的朋友。,"n.熟人；相识；了解；知道
","1. She was a casual acquaintance of my family in Vienna.
她是我们家在维也纳的一个交情不深的朋友。
2. He heard about the job through a mutual acquaintance (=  someone you and another person both know  ) .
他是通过一个双方都认识的人知道有这份工作的。
"
energetic,an energetic man,精力旺盛的男子,"adj.精力充沛的；积极的；有力的
","1. an energetic man
精力旺盛的男子
2. an energetic drive to get more customers
争取更多客户的十足干劲
"
clarify,Reporters asked him to clarify his position (= say exactly what his beliefs are ) on welfare reform.,记者们要求他阐明他在福利改革问题上的立场。,"v.澄清；阐明
","1. Reporters asked him to clarify his position (= say exactly what his beliefs are ) on welfare reform.
记者们要求他阐明他在福利改革问题上的立场。
"
essay,We asked Jason to write an essay about his hometown.,我们让杰森写一篇关于他家乡的短文。,"n.散文；试图；随笔
v.尝试；对…做试验
","1. We asked Jason to write an essay about his hometown.
我们让杰森写一篇关于他家乡的短文。
"
extinguish,Please extinguish all cigarettes.,请把香烟都熄灭了。,"v.熄灭；压制；偿清
","1. Please extinguish all cigarettes.
请把香烟都熄灭了。
2. Firemen were called to extinguish the blaze.
有人打电话叫消防队员来扑灭大火。
"
viewpoint,Different viewpoints produce different images.,角度不同，产生的画面也不同。,"n.观点，看法；视角
","1. Different viewpoints produce different images.
角度不同，产生的画面也不同。
"
pair,"earrings, £5 a pair",耳环，5英镑一副,"n.一对，一双，一副
v.把…组成一对
","1. earrings, £5 a pair
耳环，5英镑一副
"
alive,It was a bad accident – they’re lucky to be alive.,这是一宗严重事故——他们能活着实属幸运。,"adj.活着的；活泼的；有生气的
","1. It was a bad accident – they’re lucky to be alive.
这是一宗严重事故——他们能活着实属幸运。
2. My grandparents are still alive .
我的祖父母和外祖父母都还健在。
3. We stayed alive by eating berries.
我们靠吃浆果活命。
4. He was kept alive on a life-support machine.
他靠生命维持装置活着。
5. Apparently he’s alive and well and living in Brazil.
看来他还健在，住在巴西。
"
refusal,Her country suffered through her refusal to accept change.,她的国家因为她拒绝接受变革而受了害。,"n.拒绝；优先取舍权；推却；取舍权
","1. Her country suffered through her refusal to accept change.
她的国家因为她拒绝接受变革而受了害。
"
consideration,proposals put forward for consideration,提请考虑的建议,"n.考虑；原因；关心；报酬
","1. proposals put forward for consideration
提请考虑的建议
"
push,"It didn’t move, so she pushed harder.",它一动不动，因此她加力去推。,"v.推动，增加；对…施加压力，逼迫；按；说服
n.推，决心；大规模攻势；矢志的追求
","1. It didn’t move, so she pushed harder.
它一动不动，因此她加力去推。
2. I promised to push him on the swings for as long as he wanted.
我答应他想在秋千上荡多久我就推多久。
3. shoppers pushing their grocery carts
推着购物车的购物者
"
repertoire,the behavioural repertoire of infants,婴幼儿的行为能力,"n.全部节目；计算机指令系统；（美）某人或机器的全部技能
","1. the behavioural repertoire of infants
婴幼儿的行为能力
"
urgent,He was in urgent need of medical attention.,他急需治疗。,"adj.紧急的；急迫的
","1. He was in urgent need of medical attention.
他急需治疗。
2. The report called for urgent action to reduce lead in petrol.
报告呼吁迅速采取行动，减少汽油中的铅含量。
3. an urgent message
一封急报
"
incentive,"As an added incentive, there’s a bottle of champagne for the best team.",给最优秀的队发一瓶香槟作为额外的鼓励。,"n.动机；刺激
adj.激励的；刺激的
","1. As an added incentive, there’s a bottle of champagne for the best team.
给最优秀的队发一瓶香槟作为额外的鼓励。
"
banquet,a state banquet (=  one attended by heads of government and other important people  ),国宴,"n.宴会，盛宴；宴请，款待
v.宴请，设宴款待
","1. a state banquet (=  one attended by heads of government and other important people  )
国宴
"
vivid,I’ve got vivid memories of that summer.,我对那年夏天记忆犹新。,"adj.生动的；鲜明的；鲜艳的
","1. I’ve got vivid memories of that summer.
我对那年夏天记忆犹新。
2. He had a vivid picture of her in his mind.
他的脑海中清晰地留着她的形象。
"
pessimistic,a pessimistic view of life,对人生的悲观看法,"adj.悲观的，厌世的；悲观主义的
","1. a pessimistic view of life
对人生的悲观看法
"
