word,word_sen,word_sen_trans,trans,example
equivalent,"I had no dollars, but offered him an equivalent amount of sterling.",我没有美金，但给了他等值的英镑。,"adj.等价的，相等的；同意义的
n.等价物，相等物
","1. I had no dollars, but offered him an equivalent amount of sterling.
我没有美金，但给了他等值的英镑。
"
indifferent,an indifferent cook,手艺平平的厨师,"adj.漠不关心的；无关紧要的；中性的，中立的
","1. an indifferent cook
手艺平平的厨师
"
revolutionary,The new cancer drug is a revolutionary breakthrough.,这种抗癌新药是一个革命性突破。,"adj.革命的；旋转的；大变革的
n.革命者
","1. The new cancer drug is a revolutionary breakthrough.
这种抗癌新药是一个革命性突破。
2. a revolutionary new drug
一种革命性的新药
"
occupy,He occupies the house without paying any rent.,他住在这幢房子里，没有付一分钱房租。,"v.占据，占领；居住；使忙碌
","1. He occupies the house without paying any rent.
他住在这幢房子里，没有付一分钱房租。
2. The building was purchased and occupied by its new owners last year.
这幢房屋去年被新业主买下入住了。
"
vanish,My keys were here a minute ago but now they’ve vanished.,我的钥匙刚刚还在这里，现在却不翼而飞了。,"v.消失；突然不见；成为零
n.弱化音
","1. My keys were here a minute ago but now they’ve vanished.
我的钥匙刚刚还在这里，现在却不翼而飞了。
2. The bird vanished from sight.
那只鸟从视线中消失了。
3. She seemed to have just vanished into thin air (= suddenly disappeared in a very mysterious way ).
她好像就蒸发了似的。
"
elaborate,pure silks embroidered with elaborate patterns,绣有精美图案的真丝衣服,"adj.精心制作的；详尽的；煞费苦心的
v.精心制作；详细阐述；从简单成分合成（复杂有机物）
","1. pure silks embroidered with elaborate patterns
绣有精美图案的真丝衣服
"
severe,His injuries were quite severe.,他的伤势很严重。,"adj.严峻的；严厉的；剧烈的；苛刻的
","1. His injuries were quite severe.
他的伤势很严重。
2. She’s suffering from severe depression.
她患有严重的抑郁症。
3. The US faces severe economic problems.
美国面临严重的经济问题。
4. The storm caused severe damage.
这场暴风雨造成了严重的破坏。
"
cease,The things people will do for charity never cease to amaze me (= I am always surprised by them ) .,人们的慈善义举总是让我感到惊讶。,"v.停止；终了
n.停止
","1. The things people will do for charity never cease to amaze me (= I am always surprised by them ) .
人们的慈善义举总是让我感到惊讶。
2. The rain ceased and the sky cleared.
雨过天晴。
"
ancient,the ancient civilizations of Asia,亚洲的古代文明,"adj.古代的；古老的，过时的；年老的
n.古代人；老人
","1. the ancient civilizations of Asia
亚洲的古代文明
"
toxic,fumes from a toxic waste dump,有毒废料堆产生的毒气,"adj.有毒的；中毒的
","1. fumes from a toxic waste dump
有毒废料堆产生的毒气
2. a highly toxic pesticide
毒性很强的杀虫剂
"
intimate,an intimate friend of Picasso’s,毕加索的一个密友,"adj.亲密的；私人的；精通的；有性关系的
n.知己；至交
v.暗示；通知；宣布
","1. an intimate friend of Picasso’s
毕加索的一个密友
2. an intimate relationship
亲密的关系
3. She’s on intimate terms with people in government.
她与政府官员关系密切。
"
episode,Watch next week’s thrilling episode!,请收看下周精彩的一集！,"n.插曲；一段情节；插话；有趣的事件
","1. Watch next week’s thrilling episode!
请收看下周精彩的一集！
"
wholly,a wholly satisfactory solution,完全令人满意的解决办法,"adv.完全地；全部；统统
","1. a wholly satisfactory solution
完全令人满意的解决办法
2. The report claimed that the disaster was wholly unavoidable.
报告称这场灾难完全无法避免。
"
custom,"He awoke early, as was his custom.",他很早醒来，这是他的习惯。,"n.习惯，惯例；风俗；海关，关税；经常光顾；[总称]（经常性的）顾客
adj.（衣服等）定做的，定制的
","1. He awoke early, as was his custom.
他很早醒来，这是他的习惯。
"
implication,This election has profound implications for the future of U.S. democracy.,对于美国民主的未来而言，这次选举影响深远。,"n.含义；暗示；牵连，卷入；可能的结果，影响
","1. This election has profound implications for the future of U.S. democracy.
对于美国民主的未来而言，这次选举影响深远。
"
controversial,the controversial issue of welfare reform,福利改革这一有争议的话题,"adj.有争议的；有争论的
","1. the controversial issue of welfare reform
福利改革这一有争议的话题
2. a highly controversial (= very controversial ) plan to flood the valley in order to build a dam
一个把山谷淹掉来建造水坝的极具争议的计划
3. He is a controversial figure (= person who does controversial things ) in the art world.
他是艺术界极具争议的人物。
"
meat,I gave up eating meat a few months ago.,我几个月以前开始不吃肉了。,"n.肉，肉类（食用）
","1. I gave up eating meat a few months ago.
我几个月以前开始不吃肉了。
2. raw meat
生肉
3. a meat pie
肉馅饼
4. a selection of cold meats
各种冷盘肉
"
marine,the enormous variety of marine life,海洋生物繁多的种类,"adj.船舶的；海生的；海产的；航海的，海运的
n.海运业；舰队；水兵；（海军）士兵或军官
","1. the enormous variety of marine life
海洋生物繁多的种类
2. the effects of oil pollution on marine mammals
石油污染对海洋哺乳动物的影响
3. marine biology
海洋生物学
4. A small number of Marines were wounded.
几名海军陆战队士兵受了伤。
"
project,the projected closure of the hospital,计划关闭这所医院,"v.设计；计划；表达；投射
n.工程；计划；事业
","1. the projected closure of the hospital
计划关闭这所医院
"
congress,a congress of the ruling Labor Party,执政党工党的代表大会,"n.国会；代表大会；会议；社交
","1. a congress of the ruling Labor Party
执政党工党的代表大会
"
membership,You should carry your membership card with you at all times.,你应该随身携带会员卡。,"n.资格；成员资格；会员身份
","1. You should carry your membership card with you at all times.
你应该随身携带会员卡。
2. Membership fees are being increased this year.
会费今年提高了。
"
locate,We couldn’t locate the source of the radio signal.,我们无法确定无线电信号的来源。,"v.位于；查找…的地点
","1. We couldn’t locate the source of the radio signal.
我们无法确定无线电信号的来源。
"
airline,an airline pilot,航空公司飞行员,"n.航空公司；航线
adj.航线的
","1. an airline pilot
航空公司飞行员
"
efficiency,considerable advancements in energy efficiency,能源效率的显著提高,"n.效率；效能；功效
","1. considerable advancements in energy efficiency
能源效率的显著提高
"
hip,She stood there with her hands on her hips glaring at him.,她站在那里，双手叉腰瞪着他。,"n.臀部；蔷薇果；忧郁
adj.熟悉内情的；非常时尚的
","1. She stood there with her hands on her hips glaring at him.
她站在那里，双手叉腰瞪着他。
2. The old lady had fallen and broken her hip.
那老妇人摔了一跤，髋部骨折。
"
wisdom,a man of great wisdom,一个有大智慧的男人,"n.智慧，才智；明智；学识；至理名言
","1. a man of great wisdom
一个有大智慧的男人
2. You can always expect a few words of wisdom from Dave.
戴夫总能冒出几句至理名言。
"
practically,I’ve read practically all of his books.,我差不多读过他所有的书。,"adv.实际地；几乎；事实上
","1. I’ve read practically all of his books.
我差不多读过他所有的书。
2. She sees him practically every day.
她几乎天天见到他。
3. It’s practically impossible to predict what will happen.
将会发生什么，几乎不能预料。
4. The two designs were practically identical.
这两个设计几乎一模一样。
"
detach,Detach the white part of the application form and keep it for reference only.,取下申请表的白色部分，仅备参考。,"v.分离；派遣；使超然
","1. Detach the white part of the application form and keep it for reference only.
取下申请表的白色部分，仅备参考。
2. They clambered back under the falls to detach the raft from a jagged rock.
他们爬回到瀑布下面以便将卡在锯齿状岩石间的小艇拉出来。
"
owner,He was now the proud owner of a bright red sports car.,他现在拥有了一辆亮红色跑车，很是自豪。,"n.[经] 所有者；物主
","1. He was now the proud owner of a bright red sports car.
他现在拥有了一辆亮红色跑车，很是自豪。
"
path,I walked nervously up the garden path towards the front door.,我提心吊胆地沿着花园的小道向前门走去。,"n.道路；小路；轨道
","1. I walked nervously up the garden path towards the front door.
我提心吊胆地沿着花园的小道向前门走去。
2. a well-worn path across the grass
草地上被踏出的小径
3. Follow the path along the river to the bridge.
沿着河边的小路走到那座桥。
4. a path leading to the summer house
通往避暑别墅的小径
"
stem,long-stemmed wine glasses,高脚酒杯,"n.干；茎；船首；血统
v.阻止；除去…的茎；给…装柄
","1. long-stemmed wine glasses
高脚酒杯
"
god,Prayer is a way of talking to God.,祈祷是同上帝交流的一种方式。,"n.神；（大写首字母时）上帝
vt.膜拜，崇拜
","1. Prayer is a way of talking to God.
祈祷是同上帝交流的一种方式。
"
exhibit,Her paintings have been exhibited all over the world.,她的绘画作品在世界各地展出。,"v.展览；显示；提出（证据等）
n.展览品；证据；展示会
","1. Her paintings have been exhibited all over the world.
她的绘画作品在世界各地展出。
"
proportion,A large proportion of the dolphins in that area will eventually die.,那个地区的很大一部分海豚最终都会死去。,"n.比例，占比；部分；面积；均衡
v.使成比例；使均衡；分摊
","1. A large proportion of the dolphins in that area will eventually die.
那个地区的很大一部分海豚最终都会死去。
"
splash,The children were splashing about in the pool.,孩子们在水池里戏水。,"v.溅，泼；用使液体飞溅
n.飞溅的水；污点；卖弄
","1. The children were splashing about in the pool.
孩子们在水池里戏水。
"
bypass,Francis bypassed his manager and wrote straight to the director.,弗朗西斯绕过他的经理，直接写信给董事。,"v.绕开；忽视；设旁路；迂回
n.旁路；[公路] 支路
","1. Francis bypassed his manager and wrote straight to the director.
弗朗西斯绕过他的经理，直接写信给董事。
"
alcohol,I don’t drink alcohol anymore.,我不再喝酒了。,"n.酒精，乙醇
","1. I don’t drink alcohol anymore.
我不再喝酒了。
2. {""GLOSS"":[""when someone drinks too much""],""COLLOINEXA"":[""alcohol abuse""]}
酗酒
3. people with alcohol problems
有酗酒问题的人
"
paint,The ceiling needs painting.,天花板需要粉刷了。,"v.油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
n.油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰
","1. The ceiling needs painting.
天花板需要粉刷了。
2. brightly paintedhouses
粉刷得很亮丽的房屋
3. The living room was painted in pastel shades of pink and blue.
起居室被漆成淡雅的粉色和蓝色。
"
breath,"Slow down, I need to catch my breath.",慢一点，我要喘口气。,"n.呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
","1. Slow down, I need to catch my breath.
慢一点，我要喘口气。
"
plate,The brass plate on the door said ‘Dr Rackman’.,黄铜门牌上写着“雷克曼博士”。,"n.碟；金属板；金属牌；感光底片
v.电镀；给…装甲
","1. The brass plate on the door said ‘Dr Rackman’.
黄铜门牌上写着“雷克曼博士”。
"
superior,She had that superior tone of voice.,她带着那种傲慢的语气。,"adj.上级的；优秀的，出众的；高傲的
n.上级，长官；优胜者，高手；长者
","1. She had that superior tone of voice.
她带着那种傲慢的语气。
"
loom,"Vincent loomed over me, as pale and grey as a tombstone.",文森特赫然出现在我面前，脸色苍白阴沉得像块墓碑。,"n.织布机；若隐若现的景象
v.可怕地出现；朦胧地出现；隐约可见
","1. Vincent loomed over me, as pale and grey as a tombstone.
文森特赫然出现在我面前，脸色苍白阴沉得像块墓碑。
"
violence,There is too much sex and violence on TV these days.,如今电视上性爱和暴力场面太多。,"n.暴力；侵犯；激烈；歪曲
","1. There is too much sex and violence on TV these days.
如今电视上性爱和暴力场面太多。
"
operator,computers which can be used by untrained operators,未经训练的操作者也可使用的电脑,"n.经营者；操作员；话务员；行家
","1. computers which can be used by untrained operators
未经训练的操作者也可使用的电脑
"
obligation,Employers have an obligation to treat all employees equally.,雇主有责任对所有员工一视同仁。,"n.义务；职责；债务
","1. Employers have an obligation to treat all employees equally.
雇主有责任对所有员工一视同仁。
2. Parents are under a legal obligation to educate their children.
家长对子女的教育负有法律责任。
3. You are under no obligation to buy any more books.
你不必非要买更多的书。
4. Greater resources are needed to meet these obligations.
履行这些义务需要更多的资源。
5. the rights and obligations imposed on them by treaties
条约给他们规定的权利和义务
6. The government must pay for health care for war veterans – it is an obligation we owe to them.
政府必须为退伍军人支付医疗保健费用——这是我们对他们负有的义务。
7. a moral obligation to help the poor
帮助穷人的道德义务
8. He stayed with the team out of a sense of obligation.
他出于责任感而留在队里。
"
dead,Her mother had been dead for ten years.,她母亲去世十年了。,"adj.无生命的；呆板的；废弃了的
adv.完全地
n.死者
","1. Her mother had been dead for ten years.
她母亲去世十年了。
"
holiday,The school holidays start tomorrow.,学校假期从明天开始。,"n.假日；节日；休息日
v.外出度假
","1. The school holidays start tomorrow.
学校假期从明天开始。
"
maximum,"We might have a third child, but that’s the absolute maximum .",我们可能会要第三个孩子，但这绝对是极限了。,"n.[数] 极大，最大限度；最大量
adj.最高的；最多的；最大极限的
","1. We might have a third child, but that’s the absolute maximum .
我们可能会要第三个孩子，但这绝对是极限了。
"
sponsor,You cannot get a work visa without an American sponsor.,如果没有美国担保人就拿不到工作签证。,"n.赞助者；主办者；保证人
v.赞助；发起
","1. You cannot get a work visa without an American sponsor.
如果没有美国担保人就拿不到工作签证。
"
accompany,Children under 14 must be accompanied by an adult.,14岁以下儿童必须有成人陪同。,"v.陪伴，伴随；伴奏
","1. Children under 14 must be accompanied by an adult.
14岁以下儿童必须有成人陪同。
2. Wherever her husband went, she would accompany him.
不论丈夫去哪里，她都陪伴左右。
"
bother,"Danny, don’t bother Ellen while she’s reading.",丹尼，埃伦看书的时候不要去打扰她 。,"v.烦扰，打扰；使……不安；使……恼怒
n.麻烦；烦恼
","1. Danny, don’t bother Ellen while she’s reading.
丹尼，埃伦看书的时候不要去打扰她 。
2. Would it bother you if I put on some music?
我放点音乐会你介意吗？
"
delay,Don’t delay – send off for the information now.,别犹豫——即刻去函索取信息。,"v.延期；耽搁
n.延期；耽搁；被耽搁或推迟的时间
","1. Don’t delay – send off for the information now.
别犹豫——即刻去函索取信息。
2. He delayed his decision on whether to call an election.
在是否宣布举行选举一事上，他推迟作出决定。
"
click,The door clicked shut behind me.,门在我身后咔嗒一声关上了。,"v.点击；使发咔哒声
n.单击；滴答声
","1. The door clicked shut behind me.
门在我身后咔嗒一声关上了。
2. Mother clicked her tongue (= made a short sound to show disapproval ) and sighed.
妈妈咂咂嘴，叹了口气。
3. Edmund clicked his fingers (= made a short sound to get someone’s attention ) for John to follow him.
埃德蒙弹了个响指示意约翰跟着他。
4. Vogel clicked his heels (= hit the heels of his shoes together ) and bowed.
沃格尔咔嗒一声并拢脚跟，鞠了个躬。
5. Twist the lever and the gears click into place .
转动变速杆，排挡就咔嗒一声到位了。
6. You can check your e-mail with a click of your mouse.
通过鼠标的一点你就能查电子邮件。
"
vague,The governor gave only a vague outline of his tax plan.,州长只是含糊地大致说了一下他的税务计划。,"adj.模糊的；含糊的；不明确的；暧昧的
n.(Vague)人名；(法)瓦格；(英)韦格
","1. The governor gave only a vague outline of his tax plan.
州长只是含糊地大致说了一下他的税务计划。
"
noble,It’s very noble of you to spend all your weekends helping the old folk.,你心地真好，周末的时间全都用来帮助老人。,"adj.高尚的；贵族的；惰性的；宏伟的
n.贵族
vt.抓住；逮捕
","1. It’s very noble of you to spend all your weekends helping the old folk.
你心地真好，周末的时间全都用来帮助老人。
2. noble ideals
崇高的理想
"
applicable,What is a reasonable standard for one family is not applicable for another.,对一个家庭合理的标准对于另一个家庭并不适用。,"adj.可适用的；可应用的；合适的
","1. What is a reasonable standard for one family is not applicable for another.
对一个家庭合理的标准对于另一个家庭并不适用。
"
smart,The smart kids get good grades and go off to college.,聪明的孩子成绩好，可以去上大学。,"adj.聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
n.(Smart)人名；(法)斯马尔；(英、德)斯马特
","1. The smart kids get good grades and go off to college.
聪明的孩子成绩好，可以去上大学。
2. I was smart enough to wait for a week.
我很明智，等了一个星期。
3. His decision to become a director was a smart move (= sensible thing to do ) .
他决定要做导演，这是明智之举。
"
slack,Keep the rope slack until I tell you to pull it.,让绳子松着，直到我叫你拉紧。,"adj.松弛的；疏忽的；不流畅的
v.松懈；减弱
n.煤末；峡谷
adv.马虎地；缓慢地
","1. Keep the rope slack until I tell you to pull it.
让绳子松着，直到我叫你拉紧。
"
attain,More women are attaining positions of power.,越来越多的女性获得要职。,"v.达到，实现；获得；到达
n.成就
","1. More women are attaining positions of power.
越来越多的女性获得要职。
"
initiative,Why don’t you take the initiative and ask him out?,为什么你不主动约他出去呢？,"n.主动权；首创精神
adj.主动的；自发的；起始的
","1. Why don’t you take the initiative and ask him out?
为什么你不主动约他出去呢？
2. Politicians need to seize the initiative from the terrorists.
政治家需要对恐怖分子主动出击。
3. The government must not lose the initiative in the fight against terrorism.
政府在打击恐怖主义方面不能失去主动权。
"
reinforce,The film reinforces the idea that women should be pretty and dumb.,这部影片强化了这个观点——女人要漂亮，而且要笨一些。,"v.加强，加固；强化；补充
n.加强；加固物；加固材料
","1. The film reinforces the idea that women should be pretty and dumb.
这部影片强化了这个观点——女人要漂亮，而且要笨一些。
"
impressive,The figures certainly look impressive.,这些数字看上去确实很可观。,"adj.感人的；令人钦佩的；给人以深刻印象的
","1. The figures certainly look impressive.
这些数字看上去确实很可观。
2. Among the guests was an impressive array of authors and critics.
来宾中有不少出色的作家和评论家。
"
crop,The main crops were oats and barley.,主要作物是燕麦和大麦。,"n.产量；农作物；庄稼；平头
v.种植；收割；修剪；剪短
","1. The main crops were oats and barley.
主要作物是燕麦和大麦。
2. crops grown for market
为供应市场而种植的作物
"
submit,"In desperation, Mrs. Jones submitted to an operation on her right knee to relieve the pain.",绝望中，琼斯夫人不得已接受了一次她右膝的手术以减轻疼痛。,"v.使服从；主张；呈递
","1. In desperation, Mrs. Jones submitted to an operation on her right knee to relieve the pain.
绝望中，琼斯夫人不得已接受了一次她右膝的手术以减轻疼痛。
"
impression,When we looked around the school we got a very good impression.,我们参观了学校，对它的印象很好。,"n.印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
","1. When we looked around the school we got a very good impression.
我们参观了学校，对它的印象很好。
2. I got the impression that she wasn’t very happy with her job.
我有这样的印象，她的工作干得并不愉快。
"
spur,The crowd’s reaction only acted as a spur.,人群的反应不过起了刺激作用。,"n.鼓舞，刺激；马刺；山坡
v.骑马疾驰；给予刺激
","1. The crowd’s reaction only acted as a spur.
人群的反应不过起了刺激作用。
"
react,He reacted angrily to the suggestion that he had lied.,说他撒谎，他非常生气。,"v.反应；影响；反抗；起反作用
","1. He reacted angrily to the suggestion that he had lied.
说他撒谎，他非常生气。
2. She reacted very badly (= was very upset ) when her parents split up.
父母离婚的时候，她非常难过。
3. You have to react quickly to circumstances.
你必须对形势迅速作出反应。
"
exemplify,"All these recipes exemplify my cooking: healthy, delicious and quick.",所有这些食谱例证了我的饭菜：健康、美味、快捷。,"v.例证；例示
","1. All these recipes exemplify my cooking: healthy, delicious and quick.
所有这些食谱例证了我的饭菜：健康、美味、快捷。
2. Samson, one of the heroes of the Hebrew scriptures, seems to exemplify a different understanding of the power of hair: his awesome strength abandoned him as soon as his locks were trimmed.
参孙，希伯来圣经里的英雄之一，似乎例证了一种对头发的力量的不同理解：他的非凡力量随着头发被剪掉而消失。
3. However, there is no guarantee that that change will be the change you exemplify.
不过，没人能够保证那些改变会是如同你所示范的那个样子。
"
prepare,The prosecution wanted more time to prepare their case.,原告想要有更多的时间来准备诉讼。,"v.准备；使适合；装备；起草
","1. The prosecution wanted more time to prepare their case.
原告想要有更多的时间来准备诉讼。
"
contact,The town is cut off from contact with the outside world.,小镇与外界的联系被切断了。,"n.接触，联系
v.使接触，联系
","1. The town is cut off from contact with the outside world.
小镇与外界的联系被切断了。
"
attach,We attach labels to things before we file them away.,我们在把东西归档前先给它们贴上标签。,"v.使依附；贴上；系上；使依恋
","1. We attach labels to things before we file them away.
我们在把东西归档前先给它们贴上标签。
2. For further information, please contact us on the attached form.
如需更多信息，请凭附表联系我们。
"
pace,"He quickened his pace , longing to be home.",他加快步伐，盼望着早点回到家中。,"n.一步；步速；步伐；速度
v.踱步；缓慢而行
","1. He quickened his pace , longing to be home.
他加快步伐，盼望着早点回到家中。
"
nervous,I wish you’d stop looking at me like that. You’re making me nervous.,我希望你不要再那样看着我了，你让我紧张。,"adj.神经的；紧张不安的；强健有力的
","1. I wish you’d stop looking at me like that. You’re making me nervous.
我希望你不要再那样看着我了，你让我紧张。
2. By the time I got into the interview I was a nervous wreck (= was extremely nervous ).
到了面试的时候，我紧张得要命。
"
fee,You can use the gym and pool for a fee of £35 a month.,月付35英镑，即可使用健身房和游泳池。,"n.费用；酬金；小费
v.付费给……
","1. You can use the gym and pool for a fee of £35 a month.
月付35英镑，即可使用健身房和游泳池。
"
guess,"I’d say he’s around 50, but I’m only guessing.",我想他50岁左右，不过也只是猜测。,"v.猜测；认为；推测；猜中
n.猜测；推测
","1. I’d say he’s around 50, but I’m only guessing.
我想他50岁左右，不过也只是猜测。
2. What star sign are you? No, let me guess .
你是什么星座的？别说，让我来猜猜看。
"
reluctant,She gave a reluctant smile.,她勉强笑了笑。,"adj.不情愿的；勉强的；顽抗的
","1. She gave a reluctant smile.
她勉强笑了笑。
"
leaf,a flowering bush with large shiny leaves,叶子大而油亮的开花灌木,"n.叶子；（书籍等的）一张；扇页
v.生叶；翻书页
","1. a flowering bush with large shiny leaves
叶子大而油亮的开花灌木
"
surgery,Dr. Hanson is in surgery.,汉森医生在手术室。,"n.外科；外科手术；手术室；诊疗室
","1. Dr. Hanson is in surgery.
汉森医生在手术室。
"
personnel,A copy should then be sent to Personnel for our files.,然后必须送一份到人事部供我们存档。,"n.人事部门；全体人员
adj.人员的；有关人事的
","1. A copy should then be sent to Personnel for our files.
然后必须送一份到人事部供我们存档。
2. the personnel department
人事部
"
fan,Her resistance only fanned his desire.,她的反抗反而激起了他的欲望。,"v.煽动；刺激；吹拂
n.迷；风扇；爱好者
","1. Her resistance only fanned his desire.
她的反抗反而激起了他的欲望。
"
delicate,There’s something I have to speak to you about – it’s a delicate matter .,我有件事要跟你讲——是一件需要谨慎处理的事。,"adj.微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
","1. There’s something I have to speak to you about – it’s a delicate matter .
我有件事要跟你讲——是一件需要谨慎处理的事。
2. delicate negotiations
微妙的谈判
"
castle,Edinburgh Castle,爱丁堡城堡,"n.城堡；象棋中的车
v.置…于城堡中；筑城堡防御
","1. Edinburgh Castle
爱丁堡城堡
2. a ruined castle
破败的城堡
"
criterion,the criteria we use to select candidates,我们挑选候选人的标准,"n.（批评判断的）标准；准则；规范；准据
","1. the criteria we use to select candidates
我们挑选候选人的标准
"
concentration,She needed all her powers of concentration to stop herself from slipping on the icy road.,她需要集中全部注意力才能不让自己在结冰的路上滑倒。,"n.浓度；集中；浓缩；专心；集合
","1. She needed all her powers of concentration to stop herself from slipping on the icy road.
她需要集中全部注意力才能不让自己在结冰的路上滑倒。
2. Lack of concentration was a real problem.
注意力不集中是个大问题。
3. I lost my concentration and fell asleep.
我精神一放松就睡着了。
"
obscure,an obscure poet,名不见经传的诗人,"adj.昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
v.使…模糊不清，掩盖；隐藏；使难理解
n.某种模糊的或不清楚的东西
","1. an obscure poet
名不见经传的诗人
2. The details of his life remain obscure.
他的生平不详。
"
beard,He's decided to grow a beard.,他已经决定蓄胡须。,"v.公然反对；抓…的胡须
n.胡须；颌毛
","1. He's decided to grow a beard.
他已经决定蓄胡须。
"
sentiment,Similar sentiments were expressed by many politicians.,许多政治家都表达了相同的观点。,"n.感情，情绪；情操；观点；多愁善感
","1. Similar sentiments were expressed by many politicians.
许多政治家都表达了相同的观点。
2. ‘After all, it’s her decision.’ ‘ My sentiments exactly (= I agree ) .’
“毕竟，这是她自己作的决定。”“我同意。”
"
comprehensive,We offer our customers a comprehensive range of financial products.,我们为客户提供全面的金融产品。,"adj.综合的；广泛的；有理解力的
n.综合学校；专业综合测验
","1. We offer our customers a comprehensive range of financial products.
我们为客户提供全面的金融产品。
"
pastime,Reading was her favourite pastime.,阅读是她最喜爱的消遣方式。,"n.娱乐，消遣
","1. Reading was her favourite pastime.
阅读是她最喜爱的消遣方式。
"
pregnant,care for pregnant women,孕妇保健,"adj.怀孕的；富有意义的
","1. care for pregnant women
孕妇保健
2. I knew right away that I was pregnant.
我立即明白我怀孕了。
3. I thought I was too old to get pregnant .
我觉得自己年龄太大，已经不能怀孕了。
4. I didn’t mean to get her pregnant (= make her pregnant ) .
我没想让她怀孕。
5. His wife was heavily pregnant (= almost ready to give birth ) .
他的妻子即将临产。
"
behave,She behaved in a very responsible way .,她表现得很有责任心。,"v.表现；（机器等）运转；举止端正；（事物）起某种作用
","1. She behaved in a very responsible way .
她表现得很有责任心。
"
implicit,...an implicit warning to the Moroccans not to continue or repeat the military actions they began a week ago.,…叫摩洛哥人不要继续或重复一周前开始的军事行动的含蓄警告。,"adj.含蓄的；暗示的；盲从的
","1. ...an implicit warning to the Moroccans not to continue or repeat the military actions they began a week ago.
…叫摩洛哥人不要继续或重复一周前开始的军事行动的含蓄警告。
"
perform,Surgeons performed an emergency operation.,外科医生做了一个急诊手术。,"v.执行；完成；演奏
","1. Surgeons performed an emergency operation.
外科医生做了一个急诊手术。
2. The official opening ceremony was performed by Princess Margaret.
官方开幕式由玛 格丽特公主主持。
3. The leadership cannot be expected to perform miracles (= improve a situation in a way that seems impossible ) .
不要指望这个领导班子能化腐朽为神奇。
"
