word,word_sen,word_sen_trans,trans,example
scar,His hands were badly scarred by the fire.,他的双手被那次大火烧得疤痕累累。,"v.伤害；给留下伤痕
n.创伤；伤痕
","1. His hands were badly scarred by the fire.
他的双手被那次大火烧得疤痕累累。
2. She will probably be scarred for life .
她有可能留下永久的疤痕。
"
blunt,Sharpen all your blunt knives.,把你所有的钝刀子都磨一磨。,"adj.钝的，不锋利的；生硬的；直率的
v.使迟钝
n.(Blunt)人名；(英)布伦特
","1. Sharpen all your blunt knives.
把你所有的钝刀子都磨一磨。
2. a blunt pencil
钝铅笔
"
temperature,The temperature of the water was just right for swimming.,这水温游泳正好。,"n.温度；体温；气温；发烧
","1. The temperature of the water was just right for swimming.
这水温游泳正好。
2. Water boils at a temperature of 100˚C.
水在100摄氏度沸腾。
"
candle,When the candle was only half an inch high it flickered out and the room became dark.,蜡烛只有半英寸长时，烛光忽闪忽闪地熄灭了，于是房间一片漆黑。,"n.蜡烛；烛光；烛形物
v.对着光检查
","1. When the candle was only half an inch high it flickered out and the room became dark.
蜡烛只有半英寸长时，烛光忽闪忽闪地熄灭了，于是房间一片漆黑。
"
bundle,a small bundle containing mostly clothing,一个小包袱，里面主要是衣服,"n.束；捆
v.捆
","1. a small bundle containing mostly clothing
一个小包袱，里面主要是衣服
"
overtake,He pulled out to overtake the van.,他把车驶出所在车道想超过那辆小货车。,"v.赶上；压倒；突然来袭
","1. He pulled out to overtake the van.
他把车驶出所在车道想超过那辆小货车。
"
chaos,The country was plunged into economic chaos.,这个国家陷入了经济大混乱。,"n.混沌，混乱
","1. The country was plunged into economic chaos.
这个国家陷入了经济大混乱。
"
hysterical,Janet became hysterical and began screaming.,珍妮特歇斯底里起来，开始尖叫。,"adj.歇斯底里的；异常兴奋的
","1. Janet became hysterical and began screaming.
珍妮特歇斯底里起来，开始尖叫。
2. Everyone in the studio burst into hysterical laughter .
演播室里的每个人都爆发出一阵狂笑。
"
meditation,"Yoga involves breathing exercises, stretching, and meditation.",瑜伽包括呼吸训练、伸展和冥想。,"n.冥想；沉思，深思
","1. Yoga involves breathing exercises, stretching, and meditation.
瑜伽包括呼吸训练、伸展和冥想。
"
accordance,"IT organizations working in an environment with compliance requirements must to be able to document that they have designed, implemented, and tested the application in accordance with these standards.",工作在有法规遵循要求的环境中的IT组织必须能够证明他们已经计划、执行，并测试了这个应用软件与这些标准是保持一致的。,"n.一致；和谐
","1. IT organizations working in an environment with compliance requirements must to be able to document that they have designed, implemented, and tested the application in accordance with these standards.
工作在有法规遵循要求的环境中的IT组织必须能够证明他们已经计划、执行，并测试了这个应用软件与这些标准是保持一致的。
"
corridor,Go down here and the bathroom’s at the end of the corridor.,沿着这儿走，浴室就在走廊的尽头。,"n.走廊
","1. Go down here and the bathroom’s at the end of the corridor.
沿着这儿走，浴室就在走廊的尽头。
"
chase,The dogs saw him running and chased him.,那些狗看到他在跑就追他。,"v.追逐；追捕；试图赢得；雕镂
n.追逐；追赶；追击
","1. The dogs saw him running and chased him.
那些狗看到他在跑就追他。
2. kids chasing around the house
在屋里追逐嬉戏的孩子们
"
restrain,Renwick restrained a feeling of annoyance.,伦威克忍住了不悦的情绪。,"v.抑制，控制；约束；制止
","1. Renwick restrained a feeling of annoyance.
伦威克忍住了不悦的情绪。
"
substance,The leaves were covered with a strange sticky substance.,树叶上覆着一层黏糊糊的怪东西。,"n.物质；实质；资产；主旨
","1. The leaves were covered with a strange sticky substance.
树叶上覆着一层黏糊糊的怪东西。
"
adventure,Come on – where’s your sense of adventure?,来吧——你的冒险精神哪里去了？,"n.冒险；冒险精神；投机活动
v.冒险；大胆说出
","1. Come on – where’s your sense of adventure?
来吧——你的冒险精神哪里去了？
"
adverb,Will you please compare the adverb “well”?,请你说出副词“well”的原级、比较级和最高级好吗?,"n.副词
adj.副词的
","1. Will you please compare the adverb “well”?
请你说出副词“well”的原级、比较级和最高级好吗?
2. In the class, the professor taught the students how to use an adverb in the sentence.
在课堂上，教授教学生们如何在一个句子里用副词。
3. For our purposes, we get the definition of a word as well as its pronunciation and type (for example, adjective, noun, verb, adverb).
我们这里只涉及到词汇的定义、音标和词性（如形容词、名词、动词、副词等）。
"
furnace,It was hot summer and at the edge of the desert it was like a furnace.,那是一个炎热的夏天，在沙漠的边缘，天热得像火炉一样。,"n.火炉，熔炉
","1. It was hot summer and at the edge of the desert it was like a furnace.
那是一个炎热的夏天，在沙漠的边缘，天热得像火炉一样。
"
dubious,The firm was accused of dubious accounting practices.,该公司被指控有不诚实的会计行为。,"adj.可疑的；暧昧的；无把握的；半信半疑的
","1. The firm was accused of dubious accounting practices.
该公司被指控有不诚实的会计行为。
2. Many critics regard this argument as dubious or, at best, misleading.
许多批评家认为这一论点靠不住，或者说至少有误导性。
3. The assumption that growth in one country benefits the whole world is highly dubious .
一国的经济增长会对全世界有益的假设是很值得怀疑的。
"
annoy,He is not doing this to annoy you.,他做这件事并非是要惹你烦恼。,"v.骚扰；惹恼；打搅
n.烦恼（等于annoyance）
","1. He is not doing this to annoy you.
他做这件事并非是要惹你烦恼。
2. I am convinced that some people complain just to annoy me, for something to do, or they simply enjoy complaining.
我以为身边的人抱怨是为了令我烦恼、是为了解决某些事、又或者他们就是喜欢抱怨。
"
liable,She will grow into a woman particularly liable to depression.,她将变成一个特别易于消沉的女人。,"adj.有责任的，有义务的；应受罚的；有…倾向的；易…的
","1. She will grow into a woman particularly liable to depression.
她将变成一个特别易于消沉的女人。
"
sticky,There’s some sticky stuff in your hair.,你的头发上有什么黏糊糊的东西。,"adj.粘的；粘性的
","1. There’s some sticky stuff in your hair.
你的头发上有什么黏糊糊的东西。
2. a sticky floor
黏糊糊的地板
"
thirsty,Can I have a glass of water? I’m really thirsty.,我能喝一杯水吗？ 我太渴了。,"adj.口渴的，口干的；渴望的，热望的
","1. Can I have a glass of water? I’m really thirsty.
我能喝一杯水吗？ 我太渴了。
2. He’d been working in the garden and was very hot and thirsty.
他一直在花园里干活，又热又渴。
3. All this digging is thirsty work (= work that makes you want a drink ) .
这种挖地的活干了让人口渴。
"
basket,a shopping basket,购物篮,"n.篮子；（篮球比赛的）得分；一篮之量；篮筐
vt.装入篮
","1. a shopping basket
购物篮
2. a basket full of vegetables
装满蔬菜的篮子
"
chart,a chart showing last year’s sales,显示去年销售情况的一份图表,"n.图表；海图；图纸；排行榜
v.绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展
","1. a chart showing last year’s sales
显示去年销售情况的一份图表
2. a weather chart
天气图
3. the theatre’s seating chart
剧场的座位图
"
nut,a pine nut,松子,"n.螺母，螺帽；坚果；难对付的人，难解的问题
v.采坚果
","1. a pine nut
松子
2. roasted nuts
烘坚果
3. We were sitting round the fire cracking nuts (= opening them ).
我们围坐在火炉边夹碎坚果。
"
upstairs,I went upstairs and had a shower.,我上楼冲了个澡。,"adv.在楼上，向楼上；上楼；往楼上
adj.楼上的
n.楼上
","1. I went upstairs and had a shower.
我上楼冲了个澡。
2. She’s upstairs in bed feeling ill.
她身体不舒服，在楼上躺着。
3. Marsani moved into the upstairs apartment.
玛萨妮搬进了楼上的公寓。
"
garden,He’s outside in the garden.,他在外面花园里。,"n.花园；菜园
v.栽培花木
","1. He’s outside in the garden.
他在外面花园里。
2. Grace brought us some flowers from her garden.
格雷丝给我们送来一些她花园里的花。
"
mate,He has found his ideal mate.,他已经找到了理想的配偶。,"n.助手，大副；配偶；同事；配对物
v.使配对；使一致；结伴
","1. He has found his ideal mate.
他已经找到了理想的配偶。
"
vertical,a vertical line ,垂直线,"adj.垂直的，直立的；[解剖] 头顶的，顶点的
n.垂直线，垂直面
","1. a vertical line 
垂直线
2. the vertical axis of a graph
图的纵轴
3. vertical window blinds
垂直百叶窗
"
cemetery,Her father was laid in a cemetery.,她父亲安葬在一处公墓。,"n.墓地；公墓
","1. Her father was laid in a cemetery.
她父亲安葬在一处公墓。
2. The body was interred at that cemetery.
尸体下葬在那个公墓。
3. He rests in a cemetery in the western suburbs of Beijing.
他长眠于北京西郊的一个公墓中。
"
fairy,,,"n.仙女，小精灵；漂亮姑娘
adj.虚构的；仙女的
",
lantern,,,"n.灯笼；提灯；灯笼式天窗
",
ignorant,an ignorant and uneducated man,不学无术的人,"adj.无知的；愚昧的
","1. an ignorant and uneducated man
不学无术的人
"
glitter,The river glittered in the sunlight.,阳光下河面波光粼粼。,"v.闪光；闪烁
n.闪光；灿烂
","1. The river glittered in the sunlight.
阳光下河面波光粼粼。
"
vest,a bulletproof vest,防弹背心,"n.背心；汗衫
v.授予；使穿衣
","1. a bulletproof vest
防弹背心
"
orange,orange juice,橙汁,"adj.橙色的；橘色的
n.橙；橙色；桔子
","1. orange juice
橙汁
2. orange peel
橙子皮
3. Peel the oranges and divide them into segments.
把橙子去皮，然后切成片。
4. orange groves (= where orange trees grow )
柑橘园
"
persecute,The Puritans left England to escape being persecuted.,清教徒离开了英国以躲避迫害。,"v.迫害；困扰；同…捣乱
","1. The Puritans left England to escape being persecuted.
清教徒离开了英国以躲避迫害。
"
veto,The Senate had a sufficient majority to override the presidential veto (= not accept his refusal ).,参议院有足够的多数票可以推翻总统的否决。,"n.否决权
v.否决；禁止
","1. The Senate had a sufficient majority to override the presidential veto (= not accept his refusal ).
参议院有足够的多数票可以推翻总统的否决。
"
agriculture,More than 75% of the land is used for agriculture.,75%以上的土地用于农耕。,"n.农业；农耕；农业生产；农艺，农学
","1. More than 75% of the land is used for agriculture.
75%以上的土地用于农耕。
"
housewife,"Married at nineteen, she was a traditional housewife and mother of four children.",她19岁就结婚了，是个传统的家庭主妇和4个孩子的母亲。,"n.家庭主妇
","1. Married at nineteen, she was a traditional housewife and mother of four children.
她19岁就结婚了，是个传统的家庭主妇和4个孩子的母亲。
"
preliminary,"After the usual preliminaries , the chairman made his announcement.",一段例行的开场白之后，主席发布了通告。,"n.准备；预赛；初步措施
adj.初步的；开始的；预备的
","1. After the usual preliminaries , the chairman made his announcement.
一段例行的开场白之后，主席发布了通告。
"
chalk,He chalked the message on the blackboard.,他用粉笔把这条消息写在黑板上。,"v.用粉笔写；用白垩粉擦；记录；规划
n.粉笔；白垩；用粉笔划的记号
adj.用粉笔写的
","1. He chalked the message on the blackboard.
他用粉笔把这条消息写在黑板上。
"
ceiling,rooms with high ceilings,天花板很高的房间,"n.天花板；上限
","1. rooms with high ceilings
天花板很高的房间
2. a light hanging from the ceiling
吊在天花板上的灯
"
navigation,compasses and other instruments of navigation,罗盘及其他导航仪器,"n.航行；航海
","1. compasses and other instruments of navigation
罗盘及其他导航仪器
"
communism,...the ultimate triumph of communism in the world.,…共产主义在全世界的最终胜利。,"n.共产主义
","1. ...the ultimate triumph of communism in the world.
…共产主义在全世界的最终胜利。
"
scarf,He reached up to loosen the scarf around his neck.,他伸出手松开围在脖子上的围巾。,"n.围巾；嵌接，嵌接处；头巾领巾
v.披嵌接；用围巾围
","1. He reached up to loosen the scarf around his neck.
他伸出手松开围在脖子上的围巾。
"
scare,"I don’t scare easily, you know.",你知道我不是那么容易给吓倒的！,"v.惊吓；把…吓跑
n.恐慌；惊吓；惊恐
adj.（美）骇人的
","1. I don’t scare easily, you know.
你知道我不是那么容易给吓倒的！
"
engagement,Their engagement was announced in the paper.,他们订婚的消息在报上公布了。,"n.婚约；约会；交战；诺言
","1. Their engagement was announced in the paper.
他们订婚的消息在报上公布了。
2. Tony was stunned when Lisa suddenly broke off their engagement (= finished it ).
托尼对莉萨突然解除他俩的婚约感到震惊。
"
uproar,The announcement caused uproar in the crowd.,公告在人群中引起了一阵骚动。,"n.骚动；喧嚣
","1. The announcement caused uproar in the crowd.
公告在人群中引起了一阵骚动。
"
mouse,The cat laid a dead mouse at my feet.,猫把一只死老鼠放在我的脚边。,"n.鼠标；老鼠；胆小羞怯的人
v.探出
","1. The cat laid a dead mouse at my feet.
猫把一只死老鼠放在我的脚边。
2. a field mouse
田鼠
"
romance,Michelle married him after a whirlwind romance (= one that happens very suddenly and quickly ) .,经过一场旋风式的恋爱，米歇尔嫁给了他。,"n.传奇；浪漫史；风流韵事；冒险故事
v.虚构；渲染；写传奇
","1. Michelle married him after a whirlwind romance (= one that happens very suddenly and quickly ) .
经过一场旋风式的恋爱，米歇尔嫁给了他。
"
verb,The German verb is postponed.,德语动词放在句末。,"n.动词；动词词性；动词性短语或从句
adj.动词的；有动词性质的；起动词作用的
","1. The German verb is postponed.
德语动词放在句末。
"
tutor,He was privately tutored.,他是由家庭教师教的。,"v.辅导；约束
n.导师；家庭教师；助教
","1. He was privately tutored.
他是由家庭教师教的。
"
sociable,"a pleasant, sociable couple",一对和善且喜欢与人交往的夫妇,"adj.社交的；好交际的；友善的
n.联谊会
","1. a pleasant, sociable couple
一对和善且喜欢与人交往的夫妇
"
dirty,a stack of dirty dishes in the sink,洗涤槽里的一堆脏碟子,"adj.下流的，卑鄙的；肮脏的；恶劣的；暗淡的
v.弄脏
","1. a stack of dirty dishes in the sink
洗涤槽里的一堆脏碟子
2. How did you get so dirty?
你怎么会弄得这么脏？
3. He was afraid the dog's hairs might dirty the seats.
他担心狗毛会把座椅弄脏。
"
transparent,a transparent plastic container,透明的塑料容器,"adj.透明的；显然的；坦率的；易懂的
","1. a transparent plastic container
透明的塑料容器
"
forecast,Rain was forecast for the weekend.,预报周末有雨。,"v.预报，预测；预示
n.预测，预报；预想
","1. Rain was forecast for the weekend.
预报周末有雨。
"
infrared,Both the model and the satellite sensor use infrared energy to measure clouds.,模型和卫星传感器都使用红外能量来进行云的估算。,"n.红外线
adj.红外线的
","1. Both the model and the satellite sensor use infrared energy to measure clouds.
模型和卫星传感器都使用红外能量来进行云的估算。
2. ""This is an exciting result, "" says Tinetti. ""This is the first near-infrared spectrum of a planet.
迪奈蒂说：“这是个令人兴奋的结果，这是行星上发现的第一个近红外光谱。
3. His discovery of the electromagnetic spectrum led to the development of television, radio, microwaves, as well as aiding in the development of radio and infrared telescopes.
他发现的电磁特性最终导致电视、广播、微波炉的发明，并且也对无线电和红外望远镜的发明起到了重要作用。
"
mourn,Hundreds of people gathered to mourn the slain president.,成百上千人聚集在一起悼念遇刺的总统。,"v.哀悼；忧伤；服丧
","1. Hundreds of people gathered to mourn the slain president.
成百上千人聚集在一起悼念遇刺的总统。
"
chill,There was a slight chill in the air .,空气中有些微的寒意。,"n.寒冷；寒意；寒心
adj.寒冷的；冷漠的；扫兴的
v.冷冻，冷藏；使寒心；使感到冷
","1. There was a slight chill in the air .
空气中有些微的寒意。
2. I turned on the heater in the hall to take the chill off the house (= to heat it slightly ) .
我开了厅里的暖气给屋子驱寒。
"
myth,a book of Greek myths,一本关于希腊神话的图书,"n.神话；虚构的人，虚构的事
","1. a book of Greek myths
一本关于希腊神话的图书
2. the giants of myth and fairytale
神话和童话里的巨人
"
designate,Buildings are designated by red squares on the map.,在地图上建筑物用红色方块标明。,"v.指定；指派；标出；把…定名为
adj.指定的；选定的
","1. Buildings are designated by red squares on the map.
在地图上建筑物用红色方块标明。
"
clarity,Letters may be edited for length and clarity.,信件可能要加以修改以求篇幅合适，意思明了。,"n.清楚，明晰；透明
","1. Letters may be edited for length and clarity.
信件可能要加以修改以求篇幅合适，意思明了。
2. a lack of clarity in the law on property rights
产权法律含糊不清
"
whisky,We drink whisky mixed with beer.,我们喝掺有啤酒的威士忌。,"n.威士忌酒
adj.威士忌酒的
","1. We drink whisky mixed with beer.
我们喝掺有啤酒的威士忌。
2. He drank another glass of whisky, but that didn't support him to hit his wife.
他又喝了一杯威士忌，可这仍然没能令他鼓起勇气去打他的妻子。
3. After drinking a small cup of whisky,he began to stroke the things happened in these two days.
喝了一小杯威士忌酒之后，他开始理了理这一两天发生的事情。
"
pretend,Let’s pretend we’re on the moon.,我们假装自己是在月球上吧。,"v.假装，伪装，佯装
adj.假装的
","1. Let’s pretend we’re on the moon.
我们假装自己是在月球上吧。
2. He’s not asleep – he’s just pretending.
他并没睡着，不过是装睡而已。
3. To pretend ignorance of the situation would be irresponsible.
装作不知情是不负责任的做法。
4. I can’t marry her and to pretend otherwise would be wrong.
我不可以娶她，装作娶她无妨是不对的。
"
scan,"He scanned the horizon, but there was no sign of the ship.",他朝地平线处仔细眺望，但是找不到那艘船的踪影。,"v.扫描；浏览；细看；详细调查；标出格律
n.扫描；浏览；审视；细看
","1. He scanned the horizon, but there was no sign of the ship.
他朝地平线处仔细眺望，但是找不到那艘船的踪影。
2. She scanned his face, looking for signs of what he was thinking.
她端详着他的脸，想知道他在想些什么。
3. Video cameras scanned the car park.
摄像机监视着停车场。
"
strife,Money is a major cause of strife in many marriages.,钱在许多婚姻中是导致冲突的一个主要原因。,"n.冲突；争吵；不和
","1. Money is a major cause of strife in many marriages.
钱在许多婚姻中是导致冲突的一个主要原因。
"
magnet,It's possible to hang a nail from a magnet and then use that nail to pick up another nail.,把一颗钉子挂在一个磁体上再用这颗钉子去吸起另一颗钉子是可能的。,"n.磁铁；[电磁] 磁体；磁石
","1. It's possible to hang a nail from a magnet and then use that nail to pick up another nail.
把一颗钉子挂在一个磁体上再用这颗钉子去吸起另一颗钉子是可能的。
"
graceful,Her movements were graceful and elegant.,她举手投足优雅而高贵。,"adj.优雅的；优美的
","1. Her movements were graceful and elegant.
她举手投足优雅而高贵。
2. The branches formed a graceful curve.
那些树枝形成一条优美的曲线。
"
cashier,,,"n.出纳员；司库；收银员
v.解雇；抛弃
",
daylight,The park is open to the public during daylight hours .,公园白天对公众开放。,"n.白天；日光；黎明；公开
","1. The park is open to the public during daylight hours .
公园白天对公众开放。
2. If possible, it’s better to work in natural daylight.
如果条件允许的话，最好在自然日光下工作。
"
litre,the Ford’s 2.8 litre engine,福特汽车2.8升排量的引擎,"n.[计量] 公升（米制容量单位）
","1. the Ford’s 2.8 litre engine
福特汽车2.8升排量的引擎
"
mortal,Her father’s death reminded her that she was mortal.,父亲的去世让她认识到终有一天她也会死去。,"adj.凡人的；致死的；终有一死的；不共戴天的
n.人类，凡人
","1. Her father’s death reminded her that she was mortal.
父亲的去世让她认识到终有一天她也会死去。
"
articulate,Many people are unable to articulate the unhappiness they feel.,许多人都表达不出内心的痛苦。,"v.清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
adj.发音清晰的；口才好的；有关节的
n.【动物学】有节体的动物
","1. Many people are unable to articulate the unhappiness they feel.
许多人都表达不出内心的痛苦。
"
stare,She sat there staring into space (= looking for a long time at nothing ) .,她坐在那里，出神地凝视前方。,"v.凝视，盯着看；显眼
n.凝视；注视
","1. She sat there staring into space (= looking for a long time at nothing ) .
她坐在那里，出神地凝视前方。
"
vigorous,Your dog needs at least 20 minutes of vigorous exercise every day.,你的狗每天需要进行至少20分钟的剧烈运动。,"adj.有力的；精力充沛的
","1. Your dog needs at least 20 minutes of vigorous exercise every day.
你的狗每天需要进行至少20分钟的剧烈运动。
2. Environmentalists have begun a vigorous campaign to oppose nuclear dumping in the area.
环保人士已经发动了一场积极的运动，反对在该地区倾倒核废物。
3. a vigorous debate
一场激烈的辩论
4. Vigorous efforts are being made to find a solution to the problem.
正积极地寻找办法解决这个问题。
5. The measures provoked vigorous opposition in right-wing circles.
这些举措激起了右翼群体的强烈反对。
"
sacrifice,The minister stressed the need for economic sacrifice.,部长强调了在经济上作出牺牲的必要性。,"n.牺牲；祭品；供奉
v.牺牲；献祭；亏本出售
","1. The minister stressed the need for economic sacrifice.
部长强调了在经济上作出牺牲的必要性。
2. The workforce were willing to make sacrifices in order to preserve jobs.
雇员为了保住饭碗情愿作出牺牲。
3. She brought three children up single-handedly, often at great personal sacrifice .
她独自一人把三个孩子带大，常常需要作出巨大的个人牺牲。
"
milk,a bottle of milk,一瓶奶,"n.牛奶；乳状物
v.榨取；挤…的奶
","1. a bottle of milk
一瓶奶
2. Would you like some milk in your tea?
你茶里要加点奶吗？
3. a pint of semi-skimmed milk
一品脱半脱脂奶
"
mild,We had an exceptionally mild winter last year.,去年冬天我们这里异常暖和。,"adj.温和的；轻微的；淡味的；文雅的；不含有害物质的的
n.（英国的一种）淡味麦芽啤酒
","1. We had an exceptionally mild winter last year.
去年冬天我们这里异常暖和。
2. a mild climate
温和的气候
"
continuous,continuous economic growth,持续的经济增长,"adj.连续的，持续的；继续的；连绵不断的
","1. continuous economic growth
持续的经济增长
2. a continuous flow of information
源源不断的信息
"
overseas,Chris is going to work overseas.,克里斯要去国外工作。,"adv.在海外，海外
adj.海外的，国外的
","1. Chris is going to work overseas.
克里斯要去国外工作。
2. Most applications came from overseas.
大部分申请来自海外。
"
stride,Paco reached the door in only three strides.,帕科三大步就走到了门口。,"n.大步；步幅；进展
v.跨过；大踏步走过；跨坐在…
","1. Paco reached the door in only three strides.
帕科三大步就走到了门口。
2. They were joined by a newcomer who came striding across a field.
他们中又来了个新人，那人穿过一块田地大步走过来。
"
probable,The probable cause of the fire was faulty wiring.,起火的原因很可能是电路故障。,"adj.很可能的；可信的
n.很可能的事；大有希望的候选者
","1. The probable cause of the fire was faulty wiring.
起火的原因很可能是电路故障。
2. Success is highly probable .
成功的希望相当大。
"
jungle,the Amazon jungle,亚马孙丛林,"n.丛林，密林；危险地带
adj.丛林的；蛮荒的
","1. the Amazon jungle
亚马孙丛林
"
