word,trans,example
transaction,"n.交易,事务；办理,处理；(pl.)会报,学报
","1. The bank charges a fixed rate for each transaction.
银行对每一笔业务收取固定费用。
2. financial transactions
金融业务
3. the transaction of his public duties
履行他的公共职责
"
atom,"n.原子
","1. carbon atoms
碳原子
"
mere,"adj.仅仅,只不过
","1. She lost the election by a mere 20 votes.
她仅仅以20票之差落选。
2. He’s a mere child.
他只是个孩子。
3. It can’t be a mere coincidence that they left at the same time.
他们同时离开不可能仅仅是巧合。
"
signature,"n.签名,署名,签字
","1. Her signature is totally illegible (= cannot be read ) .
她的签字完全无法辨认。
2. The school collected 4,000 signatures for the petition.
学校为这份请愿书收集到了四千个签名。
3. The Ukrainians put their signatures to the Lisbon Protocol.
乌克兰签署了《里斯本协议》。
4. Someone’s forged my signature (= made an illegal copy of my name to deceive people ) on this letter.
有人在这封信中伪造了我的签名。
5. Each child must obtain the signature of his or her parents.
每个小孩都必须得到父母的签字。
"
resident,"n.居民,常住者
adj.居住的
","1. the residents of Westville
韦斯特维尔的居民
2. Many retired British people are now resident in Spain.
许多退休的英国人现在住在西班牙。
"
module,"n.单元；组件,模块,模件；(航天器的)舱
","1. a module in mathematics
数学课的一个单元
"
criterion,"n.(pl.criteria或s)标准，尺度
","1. the criteria we use to select candidates
我们挑选候选人的标准
"
specialize,"v.(specialise)(in)专攻,专门研究,专业化
","1. ...a University professor who specializes in the history of the Russian empire.
…一位专门研究沙俄历史的大学教授。
"
grace,"n.优美；文雅；恩惠,恩泽；感恩祷告
","1. Lena moved with the grace of a dancer.
莉娜走路姿势有着舞者般的优美。
2. The hotel maintains traditional standards of elegance, style, and grace
这家酒店保持着传统的优雅体面格调。
3. It was only by the grace of God that no one died.
正是承蒙上帝的恩惠才没有人死去。
4. My father said grace .
我父亲做了饭前祷告。
"
especially,"adv.尤其；特别，格外；专门地，主要地
","1. I never liked long walks, especially in winter.
我向来不喜欢长距离散步，尤其在冬天。
2. I was especially fond of chocolate biscuits.
我特别爱吃巧克力饼干。
3. She bought a new pair of trainers especially for the trip.
她特地为那次旅行买了一双新的运动鞋。
"
similar,"adj.(to)相似的,类似的
","1. We have similar tastes in music.
我们对音乐的品位相近。
2. Both approaches seem to achieve similar results.
两种方法都得出了相似的结果。
3. A number of his friends had been affected in a similar way .
他的一些朋友也受到了类似的影响。
4. The two products look quite similar .
这两种产品看上去很相似。
"
difficulty,"n.困难；困境；难题
","1. They had great difficulty in finding a replacement.
他们找接替的人费了很大劲。
2. She soon got into difficulty with debt.
她很快就因债务陷入了困境。
3. Difficulties can arise when there is more than one defendant.
如果被告不止一个，可能就会产生难题。
"
locomotive,"n.机车,火车头
adj.运动的,移动的,运载的
","1. an increase in locomotive power
运动力的增加
"
curious,"adj.好奇的, 求知的；古怪的
","1. Puppies are naturally curious.
小狗天生好奇。
2. a curious coincidence
奇怪的巧合
"
artist,"n.艺术家，美术家；(某方面的)能手
","1. an exhibition of paintings by local artists
当地画家的画展
2. He’s an artist in the kitchen.
他是位烹饪大师。
"
log,"n.原木,圆木；航海日志
","1. a roaring log fire
原木燃烧的熊熊大火
2. The captain alwayskeeps a log.
船长坚持记航海日志。
"
principle,"n.原理,原则
","1. The general principle is that education should be available to all children up to the age of 16.
总的原则是，16 岁以下儿童都应该能接受教育。
2. He called for a return to first principles (= the most important ideas ) of road safety for children.
他呼吁回归儿童道路安全的根本原则。
3. Similar principles apply in the case of older children (= the principles are the same as others that have been mentioned ) .
类似的原则也适用于年纪大些的儿童。
"
shallow,"adj.浅的,浅薄的
n.浅滩,浅处
","1. a shallow river
浅河
2. The lake is quite shallow.
这湖很浅。
3. the shallow end of the pool
游泳池的浅水区
4. Place the meat in a shallow dish.
把肉放在一个浅盘里。
"
margin,"n.页边空白
","1. Someone had scribbled a note in the margin .
有人在页边写了条批注。
2. Use double spacing and wide margins to leave room for comments.
采用双倍行距和宽阔的页边空白，以便留出地方写评注。
"
moon,"n.(加the)月球，月亮；卫星
","1. the craters on the surface of the moon
月球表面的环形山
2. The Americans landed on the Moon in 1969.
美国人于1969年登上月球。
3. The moon appeared from behind a cloud.
月亮从云后钻了出来。
4. The moon rose into the sky.
月亮升上天空。
5. The moon was shining in the sky.
月儿当空照。
6. the moons of Saturn
土星的卫星
"
cup,"n.杯子；奖杯，优胜杯；(一)杯，一杯的容量
","1. Mathew picked up the cup and sipped his coffee.
马修拿起杯子抿了口咖啡。
2. The president of the club came to present the cup to the winners.
俱乐部主席来给获胜者颁发奖杯。
3. Breakfast consisted of half a cup of milk and a dry biscuit.
早餐是半杯牛奶和一片干饼干。
"
considerate,"adj.考虑周到的,体谅的
","1. I think he's the most charming, most considerate man I've ever known.
我觉得他是我所认识的最有魅力、最体贴的男士。
"
cart,"n.(二轮货运)马车；手推车
","1. ...a country where horse-drawn carts far outnumber cars.
…一个马拉车远多于汽车的国家。
"
opportunity,"n.机会
","1. There are fewer opportunities for new graduates this year.
今年新毕业的大学生就业机会较少。
"
successive,"adj.接连的,连续的
","1. The team has had five successive victories.
这支球队已经连胜五场了。
2. Successive governments have tried to deal with this issue.
历届政府都试图解决这个问题。
"
consolidate,"v.使加固，使加强；(把)联为一体，合并
","1. The company has consolidated its position as the country’s leading gas supplier.
这家公司巩固了作为该国主要煤气供应商的地位。
2. We consolidate information from a wide range of sources.
我们把来自各种渠道的信息加以汇总。
"
herb,"n.药草，(调味用的)香草，草本植物
","1. Sprinkle the dish with chopped fresh herbs.
在菜肴上撒些切碎的新鲜香草。
"
identify,"v.识别,鉴别
","1. He was too far away to be able to identify faces.
他离得太远，没法看面孔认出谁是谁。
2. The police took fingerprints and identified the body.
警方采集了指纹，对尸体作了身份确认。
"
officer,"n.官员,办事员;工作人员；军官
","1. the chief medical officer
医务总监
2. a commanding officer of the SAS
英国空军特种部队的一名指挥官
"
diversion,"n.转向,转移
","1. ...the illegal diversion of profits from secret arms sales.
…销售秘密武器所得收益的非法转移。
2. the diversion of the river
河流改道
"
basic,"adj.基本的,基础的
","1. the basic principles of chemistry
化学的基本原理
2. The basic idea is simple.
基本思想很简单。
"
reduction,"n.减小,减少,缩小
","1. strategies for noise reduction
减少噪音的对策
2. The company promised they would make no staff reductions for at least two years.
公司承诺至少两年不裁员。
"
apparatus,"n.器械，器具，仪器；机构，组织
","1. Astronauts have special breathing apparatus.
航天员有专门的呼吸装装备。
2. The tax will require a massive administrative apparatus.
税收需要大规模的行政机构。
"
diffuse,"v.扩散；传播
adj.(文章等)冗长的,漫无边际的
","1. The pollutants diffuse into the soil.
污染物渗进了土壤。
2. Their ideas diffused quickly across Europe.
他们的观点很快在欧洲传播开来。
3. His writing is diffuse and difficult to understand.
他写的东西冗长难懂。
"
midst,"n.中间,当中
","1. We were sitting in the midst of an elegant and well-dressed audience.
我们坐在一群举止优雅、衣着考究的观众中间。
"
comedy,"n.喜剧;喜剧性事件
","1. a career in stand-up comedy
单口喜剧表演职业
"
grateful,"adj.(to,for)感激的;感谢的
","1. Our grateful thanks go to all who participated.
我们衷心感谢所有参与者。
2. She gave me a grateful look.
她感激地看了我一眼。
"
indignation,"n.愤怒,愤慨
","1. To his indignation, Charles found that his name was not on the list.
查尔斯发现他的名字没有出现在名单上，这让他深感愤慨。
2. He stormed into her office, full of righteous indignation.
他义愤填膺，气呼呼地冲进她的办公室。
"
sympathy,"n.同情，同情心；赞同
","1. Our sympathies are with the families of the victims.
我们向受害者家庭表示慰问。
2. Her sympathies lie firmly with the Conservative Party.
她坚决支持保守党。
"
infinite,"adj.无限的,无穷的
n.无限
","1. The universe is infinite.
宇宙是无限的。
"
lever,"n.杆,杠杆；手段,途径,工具
","1. Pull this lever to open the gate.
拉此横杆开启大门。
2. He examined the machine, worked a lever that lifted the lid.
他检查了机器，并使用杠杆打开盖子。
3. Rich countries use foreign aid as a lever to achieve political aims.
富国利用对外援助作为达到政治目的的手段。
"
compete,"v.竞争；争夺，竞争
","1. They found themselves competing with foreign companies for a share of the market.
他们发现自己在与外国公司争夺市场份额。
2. I had to compete against 19 other people for the job.
我得和另外19个人竞争这份工作。
"
active,"adj.活跃的，敏捷的；积极的；在活动中的
","1. games for active youngsters
活跃好动的年轻人玩的游戏
2. She’s over 80, but is still very active.
她80多岁了，但仍旧很活跃。
3. He became politically active at college.
他上大学时开始积极参与政治活动。
4. The volcano became active last year with a series of eruptions.
这座火山去年活跃起来，喷发了好几次。
"
caress,"v.爱抚，抚摸
n.爱抚，抚摸
","1. His hands gently caressed her body.
他的双手温柔地抚摸着她的身体。
2. Margaret took me to one side, holding my arm in a gentle caress.
玛格丽特把我拉到一旁，轻轻地抚弄着我的手臂。
"
preposition,"n.介词
","1. There is nothing in the rules of grammar to suggest that ending a sentence with a preposition is wrong.
在语法规则中没有哪一条表明以介词结束一个句子是错误的。
"
technician,"n.技术员,技师,技工
","1. a laboratory technician
实验室技术人员
2. a hospital technician
医院技术人员
"
equipment,"n.设备,器材,装置
","1. a shop selling camping equipment
出售露营装备的商店
2. some brand new computer equipment
一些全新的计算机设备
3. a very useful piece of equipment
一件非常有用的设备
"
prevalent,"adj.流行的,普遍的
","1. the prevalent belief in astrology
对占星术的普遍相信
"
defect,"n.过失;缺点;不足
","1. All the cars are tested for defects before they leave the factory.
所有汽车在出厂前都经过品质检验。
2. a genetic defect
遗传缺陷
"
expensive,"adj.花费的,昂贵的
","1. the most expensive restaurant in town
城里最贵的餐馆
2. Petrol is becoming more and more expensive.
汽油越来越贵了。
3. Photography is an expensive hobby.
摄影是一项很花钱的业余爱好。
4. For low-income families, children’s safety equipment can be prohibitively expensive (= so expensive that most people cannot afford it ).
对于低收入家庭来说，儿童的安全设备贵得让人望而却步。
5. Employing the wrong builder can be a horribly expensive mistake.
用错建筑工人有时会是代价高昂的错误。
6. Her husband had expensive tastes (= liked expensive things ).
她丈夫喜欢的东西都很贵。
"
adventure,"n.冒险，冒险活动，奇遇
v.大胆进行
","1. a great adventure
一大奇遇
2. Ahab’s adventures at sea
亚哈的海上历险
3. an adventure story
一个历险故事
"
timely,"adj.及时的,适时的
","1. The fight ended only with the timely arrival of the police.
幸亏警察及时赶到，打斗总算停止。
"
ventilate,"v.使通风
","1. a well-ventilated kitchen
通风良好的厨房
"
define,"v.确定，说明，界定；给…下定义，解释
","1. the ability to define clients’ needs
确定客户需求的能力
2. Define precisely what you mean by ‘crime’.
把你说的 “犯罪” 明确定义一下。
"
addict,"n.对…入迷的人
","1. She is a TV addict and watches as much as she can.
她是一个电视迷，看尽可能多的电视。
"
resistance,"n.(to)抵抗,反抗;抵抗力,阻力;电阻
","1. Rebel gunmen have put up strong resistance.
持枪的叛乱分子负隅顽抗。
2. disease resistance
抗病能力
3. The salt reduces the electrical resistance of the water.
盐使水的电阻减小。
"
senior,"adj.地位较高的；年长的
n.〔中学或大学〕最高年级的学生，毕业班学生
","1. the senior Democrat on the House committee
众议院委员会中的资深民主党人
2. White men hold most of the jobs in senior management .
白人占据高级管理层的大部分职位。
3. She became involved with a married man many years her senior.
她与一名比她年长很多的已婚男子坠入情网。
4. Jen will be a senior this year.
珍今年将是毕业班学生了。
"
presently,"adv.一会儿,不久；现在,目前
","1. The doctor will be here presently.
医生一会儿就到。
2. Your case is presently being investigated.
你的案子目前正在调查中。
"
illusion,"n.幻想，错误的观；错觉，幻觉，假象
","1. She was under no illusion that he loved her.
她不再幻想他爱她了。
2. It is an illusion that the Arctic is dark in winter.
认为北极冬天一片黑暗是错误的。
3. She had no illusions about her physical attractiveness.
她对自己外表的吸引力不抱幻想。
4. He was unlikely to be satisfied with the illusion of power.
他不可能满足于这种虚幻的权力。
5. Credit creates the illusion that you can own things without paying for them.
赊购会让人产生买东西不用付钱的错觉。
"
gently,"adv.文雅地,有礼貌地;轻轻地
","1. ‘You go back to bed now,’ he said gently.
“你回去睡觉吧。”他温柔地说道。
2. The road curved gently upwards.
路缓缓地蜿蜒而上。
"
cry,"v.哭；叫，喊；(鸟兽)叫，啼，鸣，嗥
n.叫，喊；哭；(鸟兽)叫，啼，鸣，嗥
","1. Don’t cry, Laura. It’ll be OK.
不要哭，劳拉，没事的。
2. 'Stop! she cried.
“停下！”她喊道。
3. I could hear gulls crying and the soft whisper of the sea.
我听到海鸥在鸣叫，大海在低语。
4. a baby’s cry
婴儿的叫喊声
5. It’s good to have a cry sometimes.
有时候哭一哭倒是有好处。
6. the cries of seagulls overhead
头顶上海鸥的鸣叫声
"
remote,"adj.偏僻的；远的,遥远的；疏远的；渺茫的，微乎其微的
","1. a remote border town
一个偏远的边境小镇
2. a fire in a remote mountain area
偏远山区的火灾
3. the remote time when dinosaurs walked the earth
恐龙霸行天下的远古时代
4. This government depends on the wishes of a few who are remote from the people.
这个政府按照那几个疏远群众之人的愿望行事。
5. The prospect of peace seems remote.
实现和平的希望似乎很渺茫。
"
humid,"adj.湿的,湿气重的
","1. Tokyo is extremely humid in mid-summer.
仲夏的东京十分潮湿。
"
extravagant,"adj.奢侈的
","1. Would it be too extravagant to buy both?
把两个都买下会不会太奢侈了？
2. an extravagant lifestyle
奢侈的生活方式
"
repetition,"n.重复,反复
","1. Children used to learn by repetition.
过去小孩子是通过背诵来学习的。
"
emerge,"v.显现,浮现；暴露
","1. The flowers emerge in the spring.
花儿在春天开放。
2. Eventually the truth emerged..
真相终于大白。
"
lecture,"n.演讲,讲课
v.讲授，讲课，作讲座；演讲
","1. ...a series of lectures by Professor Eric Robinson.
…埃里克·鲁滨逊教授的系列讲座。
2. He lectures on European art at Manchester University.
他在曼彻斯特大学讲授欧洲艺术。。
"
advocate,"n.辩护者，拥护者，鼓吹者
v.拥护，提倡
","1. She’s a passionate advocate of natural childbirth.
她竭力主张自然分娩。
2. Extremists were openly advocating violence.
极端主义者公开鼓吹使用暴力。
"
proceeding,"n.行动,进行；(pl.)会议录,学报
","1. The proceedings of the inquiry will take place in private.
调查行动将秘密进行。
2. The DOT is to publish the conference proceedings.
运输部将公布会议记录。
"
object,"n.物体;客体,对象;目标;宾语
v.(to)反对
","1. an everyday object such as a spoon
调羹之类的日常用品
2. The object of her hatred was 24-year-old model Ros French.
她憎恨的对象是24岁的模特罗斯·弗伦奇。
3. My object was to explain the decision simply.
我的目的是要简单明了地解释这一决定。
4. If no one objects, I would like Mrs Harrison to be present.
如果没人反对的话，我想请哈里森夫人出席。
"
solar,"adj.太阳的,日光的
","1. a solar eclipse
日食
"
