word,trans,example
puppet,"n.木偶；傀儡
","1. a 20-minute puppet show
20分钟的木偶表演
2. When the invasion occurred he seized power and ruled the country as a puppet of the occupiers.
他趁入侵之时夺取了政权，作为占领者的傀儡统治着这个国家。
3. The government is in danger of becoming a mere puppet of the military.
政府面临沦为军方傀儡的危险。
"
consultant,"n.顾问；会诊医师,顾问医生
","1. a management consultant
管理顾问
2. So she contacted his consultant at once to consult with him about this.
于是她立刻联系他的顾问医生向他请教怎么办。
"
preparation,"n.准备,预备；制剂,制备品
","1. This dish is good for dinner parties because much of the preparation can be done ahead of time.
这道菜适合宴会，因为很多准备工作可以事先做好。
2. Plans for the new school are now in preparation .
新学校的设计图正在绘制中。
3. a course in food service and food preparation
餐饮服务和备菜课程
4. a new preparation for cleansing the skin
一种新的洁肤霜
"
presume,"v.推测；擅自行动；假定
","1. I presume you're here on business.
我想你是来这儿出差的吧。
2. ""Had he been home all week?""—""I presume so.""
“他整个星期都在家吗？”—“我想是。”
3. They're resentful that outsiders presume to meddle in their affairs.
他们对外人擅自干预他们的事务怨恨不已。
4. The legal definition of ""know"" often presumes mental control.
“知情”的法律界定通常以思维控制力为前提。
"
transistor,"n.晶体管
","1. Every transistor has at least three electrodes.
每个晶体管至少有三个电极。
"
precedent,"n.先例
","1. The trial could set an important precedent for dealing with similar cases.
这次审判能为处理类似案件开创一个重要先例。
"
capacity,"n.容量,容积；容纳人数；能力
","1. The room had seating capacity for about 80.
这房间能坐80个人左右。
2. The orchestra played to a capacity crowd (= the largest number of people who can fit into a hall, theatre etc ) .
管弦乐队为满场的观众演奏。
3. All the hotels were filled to capacity .
所有的宾馆都住满了。
4. a child’s capacity for learning
孩子的学习能力
"
party,"n.聚会；政党
v.尽情欢乐
","1. We’re having a small party this evening to celebrate our wedding anniversary.
我们今晚有个小聚会，庆祝我们的结婚纪念日。
2. the party spirit
参加社交聚会的乐趣
3. I have always voted for the Labour Party.
我一直投工党的票。
4. They come to eat and drink, to swim, to party.
他们来吃饭、喝酒、游泳，尽情欢乐。
"
equation,"n.(数学)等式,方程式；制衡局面
","1. In the equation 2x + 1 = 7, what is x?
在方程式2x+1=7中，x的值为多少？
2. The party fears the equation between higher spending and higher taxes.
该党害怕增加开支和增高税收之间的相互制衡。
"
commence,"v.开始
","1. Work will commence on the new building immediately.
新大楼即将破土动工。
2. Your first evaluation will be six months after you commence employment.
工作六个月后，你将接受第一次绩效评估。
"
neglect,"v.忽视，忽略
n.疏忽
","1. Many of these ideas have been neglected by modern historians.
这些观点有许多都被现代的历史学家忽略了。
2. The police officer was accused of neglecting his duty (= not doing everything he should ).
那位警官被控渎职。
3. Tenants are complaining about the landlord’s neglect of the property.
住户在抱怨房东疏忽了房屋的维修。
"
contemporary,"adj.现代的,当代的；发生[存在]于同一时代的
","1. She writes a lot of contemporary music for people like Whitney Houston.
她为惠特尼·休斯敦等人创作大量当代音乐作品。
2. The wall hangings are thought to be roughly contemporary with the tiled floors.
壁饰和瓷砖地面被认为差不多出现在同一时代。
"
continuous,"adj.连续的,持续的
","1. continuous economic growth
持续的经济增长
2. a continuous flow of information
源源不断的信息
"
solution,"n.解决办法；解答；溶解,溶液
","1. The best solution would be for them to separate.
最好的解决方法是他们分开。
2. The solution to last week’s puzzle is on page 12.
上星期字谜的谜底在第 12 页。
3. saline solution
盐溶液
"
decision,"n.决定，抉择；决定；判决，裁决
","1. Do you ever wonder if you made the right decision?
你怀疑过自己所作的决定是否正确吗？
2. The judges’ decision is final (= it will not be changed ) .
法官的裁决是最终判决。
3. The Court has the ultimate power of decision.
法庭具有最终的判决权。
"
care,"n.照顾，照料
v.关心，在意
","1. high standards of medical care
高水平的医疗护理
2. They shared the care of the children.
他们共同照顾孩子。
3. Care facilities for the elderly are inadequate.
老年人的护理设施很缺乏。
4. She felt that nobody cared.
她觉得没有人在乎。
"
politician,"n.政治家,政客
","1. politicians who are trying to get the minority vote
努力争取少数族群选票的政治家
2. a British Labour politician
英国工党政治家
"
critical,"adj.批评的,评论的；紧要的，关键性的
","1. He made some highly critical remarks.
他发表了一些严厉的批判性言论。
2. It is absolutely critical for us to know the truth.
我们知道真相是极其重要的。
"
obtain,"v.获得,得到
","1. Evans was trying to obtain a false passport and other documents.
埃文斯当时正试图获取假护照和其他文件。
"
resistant,"adj.(to)抵抗的,有抵抗力的
","1. an infection that’s resistant to antibiotics
对抗生素有抗药性的感染
"
pose,"n.姿势，姿态
v.造成，引起，产生
","1. Ann struck a pose (= stood or sat in a particular position ) and smiled for the camera.
安摆好姿势露出笑脸准备拍照。
2. Rising unemployment is posing serious problems for the administration.
失业率上升正在给政府造成严重的问题。
"
vivid,"adj.生动的,栩栩如生的；〔色彩、图案〕鲜艳的，鲜明的
","1. I’ve got vivid memories of that summer.
我对那年夏天记忆犹新。
2. He had a vivid picture of her in his mind.
他的脑海中清晰地留着她的形象。
3. his vivid blue eyes
他碧蓝的眼睛
"
millimeter,"n.(millimetre)毫米
","1. A micrometer is one thousandth of one millimeter.
一微米是一毫米的千分之一。
2. On average these mosses grow at the glacial speed of 1 millimeter per year—and some of the turfs are meters thick.
平均来说，这些苔藓以每年大约1毫米的极慢速度生长，而某些草皮有数米厚。
"
shiver,"v.战栗,发抖
n.战栗,发抖
","1. Jake stood shivering in the cold air.
大冷天里，杰克站着冻得瑟瑟发抖。
2. A shiver ran through (= went through ) me.
我浑身一阵颤抖。
"
escalate,"v.使…加剧; 加剧
","1. The fighting on the border is escalating.
边境地区的战事在不断升级。
2. We do not want to escalate the war.
我们不想让战争升级。
"
graduate,"n.大学毕业生
v.大学毕业
adj.（攻读）研究生的
","1. a Harvard graduate
哈佛毕业生
2. university graduates
大学毕业生
3. a history graduate
历史专业毕业生
4. Kate graduated from medical school last year.
凯特去年从医学院毕业了。
5. a graduate student
研究生
"
spirit,"n.精神；情绪,心情
","1. I’m 85, but I still feel young in spirit.
我 85 岁了，但心依然感觉年轻。
2. His spirits were so low (= he was so sad ) that he refused to answer his phone.
他情绪非常低落，连电话也不愿接。
"
contradiction,"n.矛盾，不一致；反驳，否认
","1. apparent contradictions in the defendant’s testimony
被告证词中的明显矛盾
2. You can say what you like without fear of contradiction .
你可以想说什么就说什么，不用担心遭到驳斥。
"
value,"n.价值；重要性，用处，益处
v.尊重，重视；给…估价，给…估值
","1. The alterations doubled the value of the house
经改建后这所房子增值了一倍。
2. the nutritional value of cereal
谷类食物的营养价值
3. Shelley valued her privacy.
谢利很重视自己的隐私。
4. We decided to get the house valued.
我们决定给房子估一估价。
"
bathe,"v.洗澡；给…洗；游泳；浸洗; 浸泡
","1. I bathed, washed my hair, and got dressed.
我洗了澡，洗了头，然后穿上衣服。
2. He bathed the children and put them to bed.
他给孩子们洗了澡，然后把他们弄上床。
3. They bathed in the lake in the moonlight.
月光下，他们在湖里游泳。
4. She brought a bowl of water and began to bathe the injured arm.
她拿来一盆水，开始清洗受伤的手臂。
"
success,"n.成就，成功；成功的事物，有成就的人
","1. The experiment was a big success.
实验非常成功。
2. We hope it will be a commercial success.
我们希望它会是一次商业成功。
"
genuine,"adj.真正的
","1. ‘Did he really?’ Her surprise seemed genuine.
“他真的这样？”她好像是真的惊讶。
"
port,"n.港口
","1. We’ll have two days ashore while the ship is in port.
轮船靠港时，我们能在岸上待两天。
"
currency,"n.通货，货币；流传，通行
","1. The bank can supply you with foreign currency .
这家银行能为你提供外币。
2. There are moves towards a single currency in Europe.
欧洲有向单一货币发展的趋势。
3. The local currency is the Swiss franc.
当地的货币是瑞士法郎。
4. The argument has received wide currency .
这一论点被广泛接受了。
5. Marxism began to gain currency.
马克思主义开始被许多人接受。
"
prosperity,"n.繁荣,兴旺
","1. a time of economic prosperity
经济繁荣时期
"
expand,"v.(使)膨胀,(使)扩张；使…发展; 发展
","1. Water expands as it freezes.
水结冰时会膨胀。
2. The hotel wants to expand its business by adding a swimming pool.
该酒店想添个游泳池来扩展业务。
3. the rapidly expanding field of information technology
迅速发展的信息技术领域
"
woman,"n.(pl)women妇女，成年女子
","1. I was talking to a woman I met on the flight.
我正和一个在飞机上认识的女子交谈。
2. married women
已婚妇女
3. a popular women’s magazine
一本受欢迎的女性杂志
4. When a woman is pregnant, the levels of hormones in her body change.
女人怀孕时，体内的荷尔蒙水平会发生变化。
"
manage,"v.经营,管理,；设法做成，努力完成；管理 (时间、金钱等)
","1. He was asked to manage a new department.
他被要求去管理一个新的部门。
2. Managing a football team is harder than you think.
管理一支足球队比你想象的要难。
3. The company had been very badly managed.
公司管理非常糟糕。
4. a brewery which has been owned and managed by the same family for over 100 years
被同一个家族拥有和经营了一百多年的啤酒厂
5. Juventus managed two goals in the last ten minutes.
在最后十分钟里，尤文图斯队攻进了两个球。
6. In a busy world, managing your time is increasingly important.
在一个忙碌的世界里，管理好你的时间越来越重要。
"
exceptional,"adj.例外的；异常的
","1. A review panel concluded that there were no exceptional circumstances that would warrant a lesser penalty for him.
一个评估小组作出结论：没有什么例外情况可使他获得从轻惩罚
2. This is an exceptional case; I’ve never seen anything like it before.
这是个不寻常的案例，我以前从没见过这样的事。
"
satisfaction,"n.满足,满意
","1. She got great satisfaction from helping people to learn.
她在帮助人们学习的过程中得到很大的满足。
2. ‘I’ve passed all my exams’, he announced with satisfaction.
“我通过了所有的考试。”他满意地宣布。
"
mood,"n.心情,情绪
","1. You’re in a good mood this morning!
你今天早晨心情不错啊！
2. the general mood of depression in the office
办公室里普遍的沮丧情绪
"
enterprise,"n.事业,企(事)业单位；事业心,进取心
","1. state/public enterprise (=one owned by the government)
国有企业/公共事业单位
2. We’re looking for young people with enterprise and creativity.
我们在寻找有事业心和创造力的年轻人。
"
consequently,"adv.结果，因此，所以
","1. Most computer users have never received any formal keyboard training. Consequently, their keyboard skills are inefficient.
大多数的电脑使用者都没有经过正规的键盘操作训练，因此他们的键盘技巧不够熟练。
2. The molecules are absorbed into the bloodstream and consequently affect the organs.
这些分子被吸收到血液里，从而影响到器官。
"
invade,"v.入侵,侵略,侵袭；侵扰
","1. The Romans invaded Britain 2,000 years ago.
2,000年前古罗马人入侵了英国。
2. What right does he have to invade my privacy?
他有什么权利侵犯我的隐私？
"
correct,"adj.正确的；恰当的,端正的
v.矫正；改正,纠正
","1. If my calculations are correct, we’re about ten miles from Exeter.
如果我计算得没错的话，我们离埃克塞特大约十英里。
2. What’s the correct procedure in cases like this?
像这种案件的正确程序是什么？
3. Score one point for each correct answer .
答对一题得一分。
4. You are absolutely correct, the Missouri is the longest river in the US.
你说的完全正确，密苏里河是美国最长的河流。
5. Some eyesight problems are relatively easy to correct.
有些视力问题比较容易矫正。
6. You have the right to see a copy of your file, and to correct any mistakes you may find.
你有权看你的档案，发现有错可以修改。
7. Correct my pronunciation if it’s wrong.
如果我的发音错了，请给我纠正。
"
symmetry,"n.对称(性)
","1. ...the incredible beauty and symmetry of a snowflake.
…雪花令人难以置信的美丽和对称。
"
helmet,"n.头盔,钢盔
","1. The Sword split the Knight's helmet and bit him fatally.
剑劈开了骑士的头盔并致命地刺进他。
"
time,"n.时间；钟点，时刻；次，回
","1. Einstein changed the way we think about space and time.
爱因斯坦改变了我们的时空概念。
2. close relationships established over a long period of time
长期建立起来的亲密关系
3. Customers have only a limited amount of time to examine the goods.
顾客只有有限的时间可以检查商品。
4. Oh no. Look at the time. I’ll be late.
哦，坏了，你看都几点了。我要迟到了。
5. Mary had seen the film many times.
玛丽已看过这部电影许多次。
"
view,"n.观点，意见；视力；视野；视线；风景，美景；风景照；风景画
v.认为；观察;认为
","1. What’s your view on the subject?
你对这个问题怎么看？
2. During an eclipse, the moon blocks our view of the sun (= stop us from seeing it ).
日蚀的时候，月亮遮挡住了太阳。
3. From the top you get a panoramic view of the city.
从顶部你可以一览该市的全貌。
4. The book contains over fifty scenic views of Cambridge.
书中有五十多幅剑桥的风景照。
5. First-generation Americans view the United States as a land of golden opportunity.
第一代美国人把美国看成一个充满良机的大陆。
6. They came back to view the house again.
他们又回来察看了一下房子。
"
receipt,"n.收据,收条；收到,接到
","1. Keep your receipt in case you want to bring it back.
保留收据以备退货之需。
2. Can you give me a receipt?
你能给我一个收条吗？
3. the closing date for receipt of applications
接受申请的截止日期
4. The booking will be made on receipt of a deposit.
一收到订金就进行预订。
"
management,"n.经营,管理；管理层；管理（方式）
","1. a lack of management skills
缺乏管理技巧
2. a management consultant
一个管理顾问
3. management training courses
管理培训课程
4. The management has agreed to the policy.
管理层同意了这项政策。
5. The successful applicant will have experience in project management.
成功的求职者需要有从事项目管理的经验。
"
perfect,"adj.完美的；完全的
v.使完美
","1. His English was perfect.
他的英语很地道。
2. The car was in perfect condition.
这辆车的车况极佳。
3. You’re very lucky to have perfect teeth.
你能拥有一口完美的牙齿太幸运了。
4. a perfect performance
完美的演出
5. In a perfect world, we wouldn’t need an army.
在理想世界中，我们不需要军队。
6. I don't know him—he's a perfect stranger.
我不认识他,他是百分之百的陌生人。
7. Mock trials help students perfect their legal skills.
模拟庭审有助于学生们完善自己的法律技能。
"
conductor,"n.指挥；售票员；导体
","1. Wood is a poor conductor of heat.
木头导热性能差。
"
objective,"n.目标,目的
adj.客观的,真实的
","1. He vowed to achieve certain objectives before the end of his presidency.
他立誓要在他的总统任期结束之前实现某些目标。
2. the best way to accomplish your objectives
完成目标的最佳方法
3. The degree program has two main objectives.
该学位课程有两个主要目标。
4. Managers should set specific performance objectives for their teams.
经理应该为自己的团队制定明确的绩效目标。
5. The main objective was to improve children’s knowledge of geography.
主要目的是要增长儿童的地理知识。
6. A clear objective was set and adhered to.
定下了明确的目标并坚持到底。
7. One of your first business objectives should be to get your own office.
你的首要工作目标之一应该是拥有自己的办公室。
8. Scientists need to be objective when doing research.
科学家做研究时要客观。
"
beverage,"n.(水，酒等之外的)饮料
","1. Beer is a beverage of the remotest time.
啤酒是一种最古老的饮料。
2. And not only food: frequently there must be a beverage.
而且不仅仅为了食物，还常常必须有饮料。
3. In this case, you want to provide the user with a way to say the desired beverage.
在这种情况下，您想为用户提供一种方法，让他们说出自己想要的饮料。
"
manipulate,"v.操纵，控制；(熟练地)使用，操作；(巧妙地)处理
","1. He was one of those men who manipulated people.
他是那种要摆布别人的人。
2. software designed to store and manipulate data
用于存储和处理数据的软件
"
counterpart,"n.对应的人(或物)
","1. As soon as he heard what was afoot, he telephoned his German and Italian counterparts to protest.
他一听到在进行中的事，马上就给德国和意大利相应人员打电话抗议。
"
persecute,"v.迫害
","1. The Puritans left England to escape being persecuted.
清教徒离开了英国以躲避迫害。
"
marital,"adj.婚姻的,夫妻之间的
","1. marital problems
婚姻问题
2. the increase in marital breakdown
婚姻破裂的增多
"
spiral,"adj.螺旋形的
n.螺旋，螺线
v.螺旋上升；盘旋
","1. ...a spiral staircase.
…一段旋梯。
2. The maze is actually two interlocking spirals.
这个迷宫实际上是两个连锁的螺旋体。
3. The damaged plane spiralled to the ground.
受损的飞机盘旋坠地
"
designate,"v.任命,指派；标明,表示
","1. The lake was recently designated a conservation area.
这个湖最近被指定为保护区。
2. Buildings are designated by red squares on the map.
在地图上建筑物用红色方块标明。
"
provide,"v.提供,供应,供给；规定
","1. Tea and biscuits will be provided.
有茶水和饼干供应。
2. The treaty provides that, by the end of the century, the United States must have removed its bases.
这项条约规定，到本世纪末，美国必须撤走其基地。
"
symposium,"n.讨论会,专题报告会；专题论文集
","1. He had been taking part in an international symposium on population.
他那时在参加一个有关人口的国际研讨会。
"
technical,"adj.技术(性)的，工艺的；专业性的
","1. Our staff will be available to give you technical support .
有我们的员工向你提供技术支持。
2. I have no technical knowledge at all.
我一点技术知识都没有。
3. technical training
技术培训
4. The technical term for sunburn is erythema.
晒斑的专业术语是红斑。
"
individual,"adj.个别的,单独的；独特的
n.个人,个体
","1. Each individual leaf on the tree is different.
树上每片叶子都不相同。
2. the needs of the individual customer
每位顾客的需求
3. a tennis player with a highly individual style
风格非常独特的网球选手
4. the rights of the individual
个人权利
"
present,"adj.出席的；现在的
n.礼物；现在
v.赠送；提出
","1. Foreign observers were present at the elections.
外国观察员出席了选举。
2. the present situation of the millions of people who are suffering poverty and disease
遭受贫困和疾病折磨的数百万人民的现状
3. I’m looking for a present for Mark.
我在找一份礼物送给马克。
4. Stop worrying about the past and live in the present.
别再为过去烦恼，好好地过眼前的日子。
5. She was presented with an award.
她被授予一个奖项。
6. On January 3 the company will present its plans to the bank.
1 月3日该公司将向银行提交计划。
"
mercury,"n.水银,汞
","1. Some thieves have eaten off their irons with mercury water.
有些窃贼用汞水腐蚀他们的镣铐。
"
level,"n.水平，水准；等级
v.弄平，铺平
adj.水平的
","1. Inflation fell to its lowest level in 30 years.
通货膨胀降至30年来最低点。
2. Training is offered at each level in the department.
部门内各级人员都能获得培训。
3. Cover with a layer of sand and level it off.
铺上一层沙，并把它推平。
4. a level surface suitable for wheelchairs
适合轮椅的平坦表面
"
simply,"adv.简直；仅仅,只是；朴素地
","1. That would be simply wonderful!
那简直太棒了！
2. It’s not simply a question of money.
这不仅仅是钱的问题。
3. We had to live very simply on my father’s small salary.
我们只能靠父亲微薄的工资过着非常简朴的生活。
"
excursion,"n.短途旅行,游览
","1. Included in the tour is an excursion to the Grand Canyon.
这次旅游包括大峡谷观光。
"
bandage,"n.绷带
v.用绷带扎缚
","1. We put some ointment and a bandage on his knee.
我们在他的膝盖上涂了些药膏，还缠了一条绷带。
2. The nurse bandaged up his sprained ankle.
护士用绷带包扎他扭伤的脚踝。
"
gene,"n.基因
","1. human genes
人类基因
2. the genes that regulate cell division
控制细胞分裂的基因
"
recycle,"v.再循环,重复利用
","1. The objective would be to recycle 98 percent of domestic waste.
该目标是循环使用98%的生活垃圾。
"
president,"n.总统；总裁,校长,会长,主席
","1. President Bush
布什总统
2. the president of General Motors
通用汽车公司总裁
"
sensible,"adj.明智的,合理的；可觉察的,明显的
","1. She seems very sensible.
她好像很明智。
2. sensible advice
合理的建议
3. It’s sensible to keep a note of your passport number.
把你的护照号码记下来是明智的。
4. Moving house seemed like the sensible thing to do .
搬家似乎是明智的做法。
5. a sensible increase in temperature
温度的明显上升
"
bare,"adj.赤裸的；空的
v.露出,暴露
","1. a ragged child with bare feet
一个衣衫褴褛、光着脚的小孩
2. She felt the sun warm on her bare arms.
她感觉到阳光照在她裸露双臂上的暖意。
3. She looked round her tiny bare room.
她环顾她那空荡荡的小房间。
4. The dog bared its teeth .
狗露出了牙齿。
"
definition,"n.定义,解释；(轮廓影像等的)清晰度
","1. a dictionary definition
词典里的释义
2. technologies such as high definition television
高清电视之类的技术
"
reception,"n.欢迎，接待；反响；招待会；接受,接收效果
","1. She was unsure of her reception after everything that had happened.
发生了这些事后，她对自己是否还受欢迎没把握。
2. The plans received a mixed reception from unions (= some people liked them, others did not ) .
各工会对这些计划反响不一。
3. At the reception they served smoked salmon.
在招待会上，他们端上了熏三文鱼。
4. ...poor radio reception.
…糟糕的广播接收效果。
"
prince,"n.王子；亲王
","1. Prince William
威廉王子
2. Prince Rainier of Monaco
摩纳哥的兰尼埃亲王
"
distract,"v.分散;使分心
","1. Try not to distract the other students.
尽量不要让其他学生分心。
"
accommodate,"v.向…提供住处
","1. The island was used to accommodate child refugees.
该岛用于收容儿童难民。
"
secretary,"n.秘书,书记；部长,大臣
","1. My secretary will fax you all the details.
我的秘书会把所有的细节发传真给你。
2. ...a former Venezuelan foreign secretary.
…一位前任委内瑞拉外交部长。
"
county,"n.(英国)郡,(美国)县
","1. Fairfax County, Virginia
弗吉尼亚州费尔法克斯县
"
presence,"n.出席,到场,存在
","1. Your presence is requested at the club meeting on Friday.
敬请出席于周五举行的俱乐部会议。
"
pardon,"n.原谅,宽恕
interjection.请重复一遍
v.赦免
","1. Walter begged her pardon for all the pain he had caused her.
沃尔特请求她原谅自己给她造成那么多痛苦。
2. ‘Hurry up Jonathan!’ ‘Pardon?’ ‘I said hurry up!’
“快点，乔纳森！”“你说什么啊？”“我说快点！”
3. The two spies were pardoned yesterday by the President.
那两名间谍昨天得到了总统的赦免。
"
merry,"adj.欢乐的,愉快的
","1. He marched off, whistling a merry tune.
他吹着一首欢快的曲子大步走了。
"
convert,"v.变换,转换；改变（信仰等）
","1. The signal will be converted into digital code.
信号将被转变成数字编码。
2. She converted to Catholicism.
她改信了天主教。
"
limit,"n.限度，极限
v.(to)限制,限定
","1. a 55 mph speed limit
55英里的时速限制
2. Seating is limited to 500.
座位限定在 500个。
"
cover,"v.覆盖；包括,涉及
n.(书的)封面；盖子,套子
","1. Grey mould covered the walls.
灰色的霉菌布满了墙面。
2. Much of the country is covered by snow.
这个国家的大部分地区都被白雪覆盖。
3. a course covering business law
一门包括商业法的课程
4. His photo’s on the cover of ‘Newsweek’ again.
他的照片又登上《新闻周刊》的封面了。
5. a blue duvet cover
蓝色的羽绒被套
"
evident,"adj.明显的,明白的
","1. Bob ate his lunch with evident enjoyment.
显然鲍勃吃午饭吃得津津有味。
"
criminal,"n.罪犯,刑事犯
adj.犯罪的,刑事的
","1. Police have described the man as a violent and dangerous criminal.
警方形容那名男子是个凶暴而危险的罪犯。
2. a convicted criminal
一名已决罪犯
3. The new law will ensure that habitual criminals (= criminals who commit crimes repeatedly ) receive tougher punishments than first-time offenders.
新法律将确保惯犯比初犯受到更为严厉的惩罚。
4. Teenagers should not be sent to prison to mix with hardened criminals (= criminals who have committed and will continue to commit a lot of crimes ) .
青少年不该被送进监狱和惯犯混杂在一起。
5. Experts cannot agree on the causes of criminal behaviour .
专家对犯罪行为的原因不能取得一致意见。
6. I was sure he was involved in some kind of criminal activity .
我肯定他在从事某种犯罪活动。
"
signify,"v.表示,意味；要紧,有重要性
","1. Some tribes use special facial markings to signify status.
有些部落使用特殊的面部标记来表示地位。
2. The image of the lion signified power and strength.
狮子的形象代表权力和力量。
3. These figures don’t really signify in the overall results.
这些数字对于总体结果影响不是很大。
"
beside,"prep.在...旁边，在...附近；和...相比
","1. Wendy came up and sat beside me.
温迪走过来，坐在我身边。
2. the table beside the bed
床边的桌子
3. I was standing right beside her at the time.
当时我就站在她的旁边。
4. This year’s sales figures don’t look very good beside last year’s results.
今年的销售额和去年相比不是很好。
"
manual,"adj.手工的,体力的
n.手册,指南
","1. People in manual occupations have a lower life expectancy.
干体力活的人预期寿命较短。
2. a user manual
用户指南
"
dorm,"n.同dormitory,宿舍
","1. But I had no food in my dorm, so I had to go to canteen.
但是我在宿舍没有东西可吃，所以我只能去餐厅了。
2. So, some can stay in the dorm for an entire month without talking at all with anyone.
因此，有些学生能待在宿舍里整整一个月不与任何人讲话。
"
circus,"n.马戏团,杂技团;马戏场,杂技场
","1. My real ambition was to work in a circus.
我真正的理想是去马戏团工作。
"
bathroom,"n.浴室;盥洗室,卫生间
","1. Where’s the bathroom?
洗手间在哪里？
"
romantic,"adj.浪漫的；传奇式的；不切实际的,好幻想的
","1. ‘Tom always sends me red roses on my birthday.’ ‘How romantic!’
“我过生日时汤姆总是给我送红玫瑰。”“多浪漫啊！”
2. romantic music
富有情调的音乐
3. Like many New Yorkers, he had a romantic image of country life.
像许多纽约人一样，他对乡村生活也有一种不切实际的美好幻想。
"
reform,"v.改革,改造,改良
n.改革,改造,改良
","1. plans to radically reform the tax system
彻底改革税收制度的计划
2. Reforms were made to revive the economy.
为复苏经济而进行了改革。
"
acre,"n.英亩；田地；地产
","1. They own 200 acres of farmland.
他们拥有200英亩农田。
2. a 200-acre wood
一片200英亩的林地
"
universe,"n.宇宙,万物
","1. Einstein's equations showed the universe to be expanding.
爱因斯坦的方程式表明宇宙正在扩大。
"
