word,trans,example
storm,"n.暴风雨；大动荡
v.起风暴；横冲直撞；狂怒咆哮
","1. The weather forecast is for severe storms tonight.
天气预报说今晚有强暴风雨。
2. Twenty people were killed when storms struck the Midwest.
暴风雨袭击中西部，造成20人死亡。
"
lord,"n.主；上帝
int.主，天啊
v.使成贵族
","1. the feudal lords
封建领主
"
sausage,"n.香肠；腊肠；装香肠的碎肉
","1. pork sausages
猪肉香肠
"
virgin,"adj.处女的；纯洁的；未经利用的，处于原始状态的
n.处女
","1. Within 40 years there will be no virgin forest left.
过不了40年原始森林将所剩无几。
"
sail,"v.航行；启航，开船
n.帆，篷；航行
","1. Three tall ships sailed past.
三艘大船驶了过去。
2. She always wanted to sail around the world .
她一直想要乘船环游世界。
"
instant,"adj.立即的；紧急的；紧迫的
n.瞬间；立即；片刻
","1. an instant success
马到成功
2. a system that provides instant access to client information
能立即查到客户信息的系统
3. The women took an instant dislike to one another.
这些女人立刻就彼此厌恶起来。
4. The programme brought an instant response.
节目立即引起了反响。
"
deer,"n.鹿
","1. The hunter wounded the deer.
猎人打伤了鹿。
2. The hound found the place where the deer lodged.
猎狗找到了那头鹿躲藏过的地方。
3. The lions in this area prey on deer and other wild animals.
这个地方的狮子捕食鹿和其他野生动物。
"
quantify,"v.量化；为…定量；确定数量
","1. an attempt to quantify the region’s social and economic decline
对该地区社会和经济衰退进行量化的尝试
"
affection,"n.喜爱，感情；影响；感染
","1. She looked back on those days with affection .
她深情地回顾那些日子。
2. Their father never showed them much affection .
他们的父亲对他们从来没有表现出多少慈爱。
3. The church was held in great affection (=  loved and cared about a lot  ) by the local residents.
教会深受当地民众爱戴。
"
forgive,"v.原谅；免除（债务、义务等）
","1. He didn’t look the sort of man to forgive and forget (= forgive someone and no longer think about it ) .
他看上去不是那种不记仇的人。
"
postcard,"n.明信片
","1. Don’t forget to send us a postcard!
别忘了给我们寄张明信片！
"
transmission,"n.传动装置，[机] 变速器；传递；传送；播送
","1. worldwide data transmission
全球数据传输
"
betray,"v.背叛；出卖；泄露（秘密）；露出…迹象
","1. He felt that she had betrayed him.
他感觉她背叛了自己。
2. She had betrayed her parents' trust .
她辜负了父母对她的信任。
3. I would never betray a confidence (=  tell a secret that someone has trusted me with  ) .
我永远不会泄露秘密。
"
confess,"v.承认；坦白；忏悔；供认
","1. Occasionally people confess to crimes they haven’t committed just to get attention.
偶尔人们会承认自己并未犯过的罪行，那只是为了引人注意。
2. Torture was used and Fian confessed.
酷刑用过之后菲安就招供了。
"
magic,"n.巫术；魔法；戏法
adj.不可思议的；有魔力的；魔术的
","1. Do you believe in magic?
你相信魔法吗？
"
voyage,"n.航行；航程；旅行记
v.航行；航海
","1. The voyage from England to India used to take six months.
过去从英格兰到印度要航行六个月。
2. the Titanic’s maiden voyage 
“泰坦尼克”号的首航
3. I don’t want to make the voyage single-handed.
我不想独自航行。
4. These are the voyages of the starship Enterprise.
这些就是“企业”号星舰几次航行的经历。
"
explicit,"adj.明确的；清楚的；直率的；详述的
","1. The contrast could not have been made more explicit.
这个对比再清楚不过了。
2. explicit knowledge of grammar
清楚易懂的语法知识
3. The kidnappers gave us explicit instructions not to involve the police.
绑匪明确告诉我们不许报警。
4. Be explicit when you talk about money with your family.
与家人谈钱的问题要直截了当。
"
butter,"v.涂黄油于；讨好
n.黄油；奶油；奉承话
","1. buttered toast
涂了黄油的烤面包片
"
paste,"v.张贴，裱糊；用浆糊粘
n.面团，膏；糊状物，[胶粘] 浆糊
","1. Data can be pasted into word processing documents.
数据可以粘贴到文字处理文件中。
"
reservation,"n.预约，预订；保留
","1. a dinner reservation
预订晚餐
2. Customers are advised to make seat reservations well in advance.
建议顾客提前订座。
"
resolute,"adj.坚决的；果断的
","1. resolute opposition
坚决的反对
2. resolute leadership
果断的领导
3. She remained resolute in her belief that the situation would improve.
她依然坚信情况将会好转。
"
quartz,"n.石英
","1. quartz crystals
石英晶体
2. a quartz watch
石英表
"
artificial,"adj.人造的；仿造的；虚伪的；非原产地的；武断的
","1. artificial flowers
假花
2. artificial light
人造光
3. artificial fertilizers
化肥
"
zinc,"v.镀锌于…；涂锌于…；用锌处理
n.锌
","1. Copper and zinc are fused to make brass.
铜与锌熔合后形成黄铜。
2. Some microbes like nothing better than to be nestled in a toxic sludge of heavy metals like zinc, arsenic and cadmium.
对于一些微生物而言，没有什么比生活在充满了锌、砷和镉之类的重金属的有毒淤泥中更加惬意的。
"
shrug,"v.耸肩，耸肩表示
n.耸肩
","1. I just shrugged my shoulders and ignored him.
我只是耸耸肩，没有理睬他。
2. Melanie shrugged and walked away.
梅拉妮耸耸肩走开了。
"
battery,"n.[电] 电池，蓄电池
","1. You have to take the top off to change the batteries .
你得把顶盖拿掉才能更换电池。
2. When the red light comes on, you should recharge the battery .
红灯亮起的时候你就应该给电池充电了。
3. The car’s got a flat battery .
汽车的蓄电池没电了。
4. a battery-operated hairdryer
使用电池的吹风机
"
domain,"n.领域；域名；产业；地产
","1. Looking after the house was viewed as a woman’s domain.
料理家务被认为是女性的份内之事。
"
loop,"v.打环；翻筋斗
n.环；圈；弯曲部分；翻筋斗
","1. He looped the rope over the wood.
他把绳子打了环系在木头上。
"
sheep,"n.羊，绵羊；胆小鬼
","1. Sheep were grazing on the hillside.
羊群在山坡上吃草。
2. a sheep farmer
养羊的农民
"
sheer,"adj.绝对的；透明的；峻峭的；纯粹的
adv.完全；陡峭地
v.偏航
n.偏航；透明薄织物
","1. I’ll never forget the look of sheer joy on her face.
我永远也不会忘记她满脸喜悦的神情。
2. sheer hypocrisy
十足的虚伪
"
deck,"n.甲板；行李仓；露天平台
v.装饰；装甲板；打扮
","1. deck furniture
木制平台上用的家具
"
fasten,"v.使固定；集中于；扎牢；强加于
n.(Fasten)人名；(英)法森
",
install,"v.安装；任命；安顿
","1. They’ve installed the new computer network at last.
他们终于安装了新电脑网络。
2. Security cameras have been installed in the city centre.
在市中心已安装了一些监控摄像机。
"
intensive,"adj.加强的；集中的；透彻的；加强语气的
n.加强器
","1. a one-week intensive course in English
为期一周的英语强化课程
2. a day of intensive negotiations
紧张谈判的一天
"
linear,"adj.线的，线型的；直线的，线状的；长度的
","1. a linear diagram
线形图
"
wreck,"n.破坏；失事；残骸；失去健康的人
v.破坏；使失事；拆毁
","1. He was still alive when they pulled him from the wreck.
他们把他从失事的车辆中拖出来时，他还活着。
"
stool,"n.凳子；粪便；厕所
v.长新枝；分檗
","1. a bar stool
酒吧高凳
"
stoop,"v.弯腰；屈服；堕落
n.弯腰，屈背；屈服
","1. We had to stoop to pass through the low entrance.
我们得弯腰通过那低矮的入口。
2. Dave stooped down to tie his shoes.
戴夫俯身系鞋带。
"
exceptional,"adj.异常的，例外的
n.超常的学生
","1. an exceptional student
出类拔萃的学生
2. exceptional bravery
非凡的勇气
"
vowel,"n.元音；母音
adj.元音的
","1. But he could say vowel clearly and began to learn vocabulary.
但是他已经能清楚地说元音并开始学习词汇。
2. Always end the name of your child with a vowel, so that when you yell the name will carry.
一定让孩子的名字以元音结尾，这样当你喊叫时，这样的名字会助你一臂之力。
3. Towards the end of Middle English, a sudden and distinct change in pronunciation (the Great Vowel Shift) started, with vowels being pronounced shorter and shorter.
随着中世纪英语的泯灭，发音突然发生了很大的变化（元音大推移），元音的发音越来越短。
"
chocolate,"n.巧克力，巧克力糖；巧克力色
adj.巧克力色的；巧克力口味的
","1. a chocolate bar
巧克力条
2. a chocolate cake
巧克力蛋糕
3. a packet of chocolate biscuits
一包巧克力饼干
4. I prefer milk chocolate to dark chocolate .
和黑巧克力比起来，我更喜欢牛奶巧克力。
"
staple,"n.主要产品；订书钉；主题；主食
adj.主要的，大宗生产的；常用的；纺织纤维的
v.把…分级；钉住
","1. staples like flour and rice
面粉和大米等主食
"
courtyard,"n.庭院，院子；天井
","1. the castle courtyard
城堡的庭院
"
napkin,"n.餐巾；餐巾纸；尿布
","1. ...taking tiny bites of a hot dog and daintily wiping my lips with a napkin.
…小口咬着热狗并用餐巾文雅地擦着我的嘴唇。
"
quiver,"n.颤抖；箭袋；震动
v.颤抖；振动
","1. I recognized it instantly and felt a quiver of panic.
我立刻认出它了，感到一阵惊恐的颤抖。
"
versus,"prep.对；与相对；对抗
","1. the New York Knicks versus the LA Lakers
纽约尼克斯队对洛杉矶湖人队
2. the Supreme Court decision in Roe vs. Wade
最高法院关于罗诉韦德案的判决
"
stone,"n.石头；结石；[宝] 宝石
adj.石的，石制的
v.向扔石块；用石头铺
","1. a stone wall
石墙
2. stone steps
石台阶
3. The floors are made of stone.
地面是石头铺成的。
"
tragedy,"n.悲剧；灾难；惨案
","1. The tragedy happened as they were returning home from a night out.
悲剧发生在他们夜里外出归来的路上。
2. Tragedy struck the family when their two-year-old son was killed in an accident.
悲剧降临到这个家庭，他们两岁的儿子在一次事故中丧生。
"
dear,"adj.亲爱的；尊敬的；昂贵的
adv.高价地；疼爱地
int.哎呀
n.亲爱的人
","1. Dear Sir or Madam, ...
尊敬的先生或女士，…
2. Dear Mrs. Wilson, ...
尊敬的威尔逊夫人，…
3. Dear Meg, ...
亲爱的梅格，…
4. You're a lot like me, dear.
你和我太像了，亲爱的。
"
endurance,"n.忍耐力；忍耐；持久；耐久
","1. She was pushed beyond her powers of endurance.
她被逼得忍无可忍。
2. The marathon is a test of endurance.
马拉松赛跑是对耐力的考验。
"
installment,"n.安装；分期付款；部分；就职
",
autumn,"n.秋天；成熟期；渐衰期，凋落期
adj.秋天的，秋季的
","1. autumn mists
秋天的雾霭
"
dean,"n.院长；系主任；教务长；主持牧师
","1. the admissions dean
招生主任
"
deaf,"adj.聋的
","1. communication between deaf and hearing people
失聪者和听力正常者之间的交流
2. I think Mum’s going a bit deaf .
我觉得妈妈有点耳聋了。
3. She’s deaf and dumb (= unable to hear or speak ) and communicates using sign language.
她又聋又哑，用手语交流。
4. Tom was born profoundly deaf (= having great difficulty hearing ) .
汤姆天生几乎全聋。
"
radiant,"adj.辐射的；容光焕发的；光芒四射的
n.光点；发光的物体
","1. She looked radiant in a white silk dress.
她身穿白色真丝礼服，看上去光彩照人。
2. a radiant smile
灿烂的笑容
"
priest,"n.牧师；神父；教士
vt.使成为神职人员；任命…为祭司
","1. He had trained to be a Catholic priest.
他接受培训成了一名天主教神父。
"
establishment,"n.确立，制定；公司；设施
",
mysterious,"adj.神秘的；不可思议的；难解的
","1. The police are investigating the mysterious deaths of children at the hospital.
警察正在调查这家医院的儿童神秘死亡事件。
2. Benson later disappeared in mysterious circumstances .
本森后来就神秘地失踪了。
3. There’s something mysterious going on.
出了件怪事。
"
flavor,"n.情味，风味；香料；滋味
v.加味于
",
sanction,"n.制裁，处罚；认可；支持
v.制裁，处罚；批准；鼓励
","1. a resolution to impose sanctions (= start using sanctions ) on DPRK
对朝鲜实施制裁的决议
2. the threat of trade sanctions
贸易制裁的威胁
3. The UN security council may impose economic sanctions .
联合国安理会可能会实施经济制裁。
4. Any talk about lifting sanctions (= ending them ) is premature.
现时就谈取消制裁为时过早。
"
drain,"v.排水；流干
n.排水；下水道，排水管；消耗
","1. The swimming pool is drained and cleaned every winter.
每年冬天这座游泳池都要排干清洗。
2. Can you drain the spaghetti, please (= pour away the water from the pan ) ?
你把意大利面滤干好吗？
"
interim,"adj.临时的，暂时的；中间的；间歇的
n.过渡时期，中间时期；暂定
","1. an interim report
中期报告
2. He received an interim payment of £10,000.
他收到暂时支付的一万英镑。
3. An interim government was established.
一个临时政府成立了。
"
continual,"adj.持续不断的；频繁的
","1. five weeks of continual rain
持续了五个星期的降雨
2. the Japanese business philosophy of continual improvement
日本人精益求精的经营哲学
"
contemporary,"n.同时代的人；同时期的东西
adj.当代的；同时代的；属于同一时期的
","1. Like most of my contemporaries, I grew up in a vastly different world.
像我同时代的大多数人一样，我在一个非常不同的世界里长大。
"
trash,"n.垃圾；废物
v.丢弃；修剪树枝
","1. Will someone take out the trash (= take it outside the house ) ?
谁把垃圾拿出去好吗？
2. Just put it in the trash .
就把它扔到垃圾桶里吧。
"
eloquent,"adj.意味深长的；雄辩的，有口才的；有说服力的；动人的
","1. an eloquent appeal for support
极具说服力的求助呼吁
"
lend,"v.贷；增添，提供；把……借给
n.(Lend)人名；(德)伦德
","1. The bank is reassessing its criteria for lending money.
银行正在重新评估其贷款标准。
"
galaxy,"n.银河；[天] 星系；银河系；一群显赫的人
","1. Astronomers have discovered a distant galaxy.
天文学家们发现了一个遥远的星系。
"
mushroom,"n.蘑菇，伞菌；蘑菇形物体；暴发户
adj.蘑菇的；蘑菇形的；迅速生长的
v.迅速增加；采蘑菇；迅速生长
","1. mushroom soup
蘑菇汤
"
simulate,"v.模仿；假装；冒充
adj.模仿的；假装的
","1. a machine that simulates conditions in space
一台模拟太空环境的机器
2. Interviews can be simulated in the classroom.
可以在教室里模拟面试。
"
boast,"v.夸口说，自吹自擂说；以有…而自豪
n.自夸；值得夸耀的事物，引以为荣的事物
","1. ‘I wouldn’t be afraid,’ she boasted.
“我才不怕呢。”她吹嘘道。
"
sensation,"n.感觉；轰动；感动
","1. Jerry realized that he had no sensation in his legs.
杰里意识到自己双腿都没有了知觉。
"
garage,"n.车库；汽车修理厂；飞机库
v.把……送入车库；把（汽车）开进车库
","1. I’ll just go and put the car in the garage.
我把车停到车库去。
2. an automatic garage door
车库自动门
"
destruction,"n.破坏，毁灭；摧毁
","1. {""COLLOINEXA"":[""weapons of mass destruction""]}
大规模杀伤性武器
2. the environmental destruction caused by the road building programme
筑路工程造成的环境破坏
3. The floods brought death and destruction to the area.
洪水给该地区带来了死亡和破坏。
"
waist,"n.腰，腰部
","1. The skirt was too big around the waist.
那条裙子腰围太大。
"
frequency,"n.频率；频繁
","1. Side effects from prescribed drugs are being reported with increasing frequency (= more and more often ) .
处方药的副作用正越来越频繁地被报道出来。
2. The relative frequency of fraternal twins has halved since 1950.
自1950年以来，异卵双胞胎的相对出生率下降了一半。
"
